iteration,value
1,1.02031
2,1.02051
3,1.02035
4,1.01992
5,1.01932
6,1.01862
7,1.0179
8,1.01719
9,1.0165
10,1.01586
11,1.01527
12,1.01472
13,1.01423
14,1.01379
15,1.01341
16,1.01312
17,1.0129
18,1.01279
19,1.0128
20,1.01292
21,1.01317
22,1.01355
23,1.01406
24,1.0147
25,1.01547
26,1.01636
27,1.01738
28,1.01851
29,1.01975
30,1.0211
31,1.02255
32,1.0241
33,1.02575
34,1.02749
35,1.0293
36,1.03119
37,1.03315
38,1.03517
39,1.03724
40,1.03935
41,1.0415
42,1.04368
43,1.04589
44,1.04811
45,1.05034
46,1.05256
47,1.05477
48,1.05694
49,1.05908
50,1.06115
51,1.06314
52,1.06503
53,1.0668
54,1.06842
55,1.06988
56,1.07115
57,1.07221
58,1.07307
59,1.0737
60,1.07411
61,1.07429
62,1.07426
63,1.07403
64,1.07363
65,1.07307
66,1.07239
67,1.07162
68,1.07078
69,1.06991
70,1.06905
71,1.06821
72,1.06742
73,1.0667
74,1.06607
75,1.06552
76,1.06507
77,1.06471
78,1.06442
79,1.06421
80,1.06405
81,1.06394
82,1.06384
83,1.06375
84,1.06365
85,1.06354
86,1.06339
87,1.06321
88,1.063
89,1.06274
90,1.06246
91,1.06215
92,1.06183
93,1.06149
94,1.06116
95,1.06083
96,1.06051
97,1.06021
98,1.05992
99,1.05966
100,1.05942
101,1.0592
102,1.059
103,1.0588
104,1.05861
105,1.05842
106,1.05822
107,1.05803
108,1.05782
109,1.0576
110,1.05737
111,1.05713
112,1.05688
113,1.05662
114,1.05636
115,1.05609
116,1.05583
117,1.05557
118,1.05532
119,1.05507
120,1.05484
121,1.05461
122,1.0544
123,1.0542
124,1.05401
125,1.05384
126,1.05367
127,1.05353
128,1.05339
129,1.05328
130,1.05318
131,1.05311
132,1.05307
133,1.05305
134,1.05307
135,1.05313
136,1.05323
137,1.05338
138,1.05358
139,1.05384
140,1.05417
141,1.05455
142,1.055
143,1.05553
144,1.05612
145,1.05678
146,1.05751
147,1.05831
148,1.05917
149,1.06008
150,1.06105
151,1.06206
152,1.0631
153,1.06416
154,1.06523
155,1.0663
156,1.06735
157,1.06837
158,1.06935
159,1.07027
160,1.07111
161,1.07188
162,1.07255
163,1.07311
164,1.07357
165,1.07391
166,1.07413
167,1.07424
168,1.07422
169,1.0741
170,1.07386
171,1.07352
172,1.07309
173,1.07258
174,1.07199
175,1.07133
176,1.07062
177,1.06987
178,1.06909
179,1.06829
180,1.06747
181,1.06666
182,1.06584
183,1.06504
184,1.06425
185,1.06349
186,1.06275
187,1.06204
188,1.06136
189,1.06071
190,1.06008
191,1.05949
192,1.05892
193,1.05838
194,1.05786
195,1.05735
196,1.05686
197,1.05638
198,1.0559
199,1.05542
200,1.05494
201,1.05445
202,1.05394
203,1.05342
204,1.05289
205,1.05233
206,1.05175
207,1.05114
208,1.05051
209,1.04986
210,1.04918
211,1.04849
212,1.04777
213,1.04704
214,1.04629
215,1.04553
216,1.04476
217,1.04399
218,1.04322
219,1.04245
220,1.04169
221,1.04095
222,1.04021
223,1.0395
224,1.0388
225,1.03813
226,1.03748
227,1.03686
228,1.03627
229,1.0357
230,1.03516
231,1.03464
232,1.03415
233,1.03369
234,1.03325
235,1.03282
236,1.03242
237,1.03203
238,1.03165
239,1.03128
240,1.03092
241,1.03057
242,1.03022
243,1.02987
244,1.02952
245,1.02916
246,1.02881
247,1.02845
248,1.02809
249,1.02773
250,1.02736
251,1.027
252,1.02664
253,1.02628
254,1.02592
255,1.02557
256,1.02523
257,1.02491
258,1.02459
259,1.0243
260,1.02402
261,1.02376
262,1.02353
263,1.02332
264,1.02313
265,1.02297
266,1.02283
267,1.02271
268,1.02262
269,1.02255
270,1.02251
271,1.02248
272,1.02247
273,1.02247
274,1.02249
275,1.02252
276,1.02257
277,1.02261
278,1.02266
