iteration,value
0,0.106612
0.05,0.112812
0.1,0.119555
0.15,0.126705
0.2,0.134596
0.25,0.143099
0.3,0.152434
0.35,0.162582
0.4,0.173721
0.45,0.1859
0.5,0.19929
0.55,0.213994
0.6,0.230198
0.65,0.248053
0.7,0.267774
0.75,0.289563
0.8,0.313672
0.85,0.340352
0.9,0.369896
0.95,0.402597
1,0.438777
1.05,0.478751
1.1,0.522839
1.15,0.571331
1.2,0.624489
1.25,0.682502
1.3,0.745501
1.35,0.813509
1.4,0.886567
1.45,0.965951
1.5,1.04151
1.55,1.12836
1.6,1.21683
1.65,1.30752
1.7,1.39991
1.75,1.49339
1.8,1.58739
1.85,1.68138
1.9,1.77493
1.95,1.86765
2,1.95925
2.05,2.04949
2.1,2.13822
2.15,2.2253
2.2,2.31066
2.25,2.39426
2.3,2.47608
2.35,2.55612
2.4,2.63442
2.45,2.71099
2.5,2.78588
2.55,2.85914
2.6,2.93082
2.65,3.00095
2.7,3.06964
2.75,3.13682
2.8,3.20281
2.85,3.2671
2.9,3.33094
2.95,3.39171
3,3.45565
