iteration,value
1,0.527856
2,0.527086
3,0.525913
4,0.524441
5,0.522766
6,0.520971
7,0.519118
8,0.517253
9,0.515406
10,0.513597
11,0.511836
12,0.510133
13,0.508495
14,0.506933
15,0.505457
16,0.504079
17,0.502811
18,0.501663
19,0.500646
20,0.499763
21,0.49902
22,0.498416
23,0.49795
24,0.49762
25,0.49742
26,0.497349
27,0.497402
28,0.497577
29,0.497871
30,0.498282
31,0.49881
32,0.499454
33,0.500211
34,0.501082
35,0.502064
36,0.503156
37,0.504356
38,0.505663
39,0.507073
40,0.508584
41,0.510194
42,0.5119
43,0.513698
44,0.515582
45,0.517546
46,0.519582
47,0.52168
48,0.523826
49,0.526006
50,0.5282
51,0.530389
52,0.532548
53,0.534653
54,0.536678
55,0.538597
56,0.540384
57,0.542017
58,0.543476
59,0.544746
60,0.545817
61,0.546686
62,0.547356
63,0.547836
64,0.54814
65,0.54829
66,0.548309
67,0.548225
68,0.548069
69,0.547869
70,0.547655
71,0.547453
72,0.547286
73,0.547175
74,0.547133
75,0.547168
76,0.547286
77,0.547483
78,0.547754
79,0.548089
80,0.548475
81,0.548897
82,0.54934
83,0.549786
84,0.550224
85,0.550639
86,0.551024
87,0.551371
88,0.551679
89,0.551946
90,0.552176
91,0.552375
92,0.552549
93,0.552706
94,0.552854
95,0.553
96,0.553152
97,0.553313
98,0.553487
99,0.553677
100,0.553881
101,0.554098
102,0.554325
103,0.554557
104,0.554792
105,0.555023
106,0.555247
107,0.555459
108,0.555659
109,0.555842
110,0.556009
111,0.55616
112,0.556295
113,0.556417
114,0.556528
115,0.556631
116,0.556727
117,0.55682
118,0.556912
119,0.557006
120,0.557102
121,0.557203
122,0.557308
123,0.55742
124,0.557539
125,0.557666
126,0.557802
127,0.557948
128,0.558106
129,0.558278
130,0.558468
131,0.558679
132,0.558915
133,0.559181
134,0.559482
135,0.559824
136,0.560213
137,0.560656
138,0.561157
139,0.561724
140,0.562363
141,0.563078
142,0.563876
143,0.564759
144,0.565732
145,0.566796
146,0.567954
147,0.569205
148,0.570547
149,0.571977
150,0.573492
151,0.575084
152,0.576745
153,0.578465
154,0.580234
155,0.582037
156,0.583862
157,0.585693
158,0.587513
159,0.589308
160,0.59106
161,0.592755
162,0.594378
163,0.595915
164,0.597355
165,0.598689
166,0.599908
167,0.601007
168,0.601984
169,0.602838
170,0.603571
171,0.604185
172,0.604687
173,0.605084
174,0.605383
175,0.605594
176,0.605726
177,0.60579
178,0.605795
179,0.605752
180,0.60567
181,0.605559
182,0.605427
183,0.60528
184,0.605126
185,0.604971
186,0.604818
187,0.604672
188,0.604535
189,0.604409
190,0.604294
191,0.604189
192,0.604093
193,0.604005
194,0.603921
195,0.603838
196,0.603752
197,0.60366
198,0.603555
199,0.603435
200,0.603293
201,0.603127
202,0.60293
203,0.602699
204,0.602432
205,0.602123
206,0.601773
207,0.601377
208,0.600936
209,0.60045
210,0.599917
211,0.599341
212,0.598721
213,0.598061
214,0.597363
215,0.596631
216,0.595868
217,0.595078
218,0.594266
219,0.593435
220,0.59259
221,0.591735
222,0.590874
223,0.590011
224,0.589149
225,0.588291
226,0.587439
227,0.586597
228,0.585765
229,0.584944
230,0.584137
231,0.583341
232,0.582558
233,0.581786
234,0.581024
235,0.580271
236,0.579524
237,0.578782
238,0.578043
239,0.577304
240,0.576563
241,0.575818
242,0.575066
243,0.574307
244,0.573538
245,0.572758
246,0.571967
247,0.571164
248,0.570349
249,0.569523
250,0.568687
251,0.567841
252,0.566988
253,0.56613
254,0.565268
255,0.564405
256,0.563544
257,0.562688
258,0.561838
259,0.560999
260,0.560171
261,0.559358
262,0.558562
263,0.557784
264,0.557025
265,0.556287
266,0.555571
267,0.554877
268,0.554204
269,0.553553
270,0.552922
271,0.55231
272,0.551716
273,0.551139
274,0.550576
275,0.550026
276,0.549487
277,0.548958
278,0.548435
279,0.547918
280,0.547406
281,0.546898
282,0.546392
283,0.545888
284,0.545386
285,0.544887
286,0.544391
287,0.543898
288,0.54341
289,0.542928
290,0.542454
291,0.541989
292,0.541536
293,0.541095
294,0.540668
295,0.540257
296,0.539864
297,0.539489
298,0.539133
299,0.538796
300,0.53848
301,0.538184
302,0.537908
303,0.537651
304,0.537412
305,0.53719
306,0.536983
307,0.536791
308,0.536611
309,0.536442
310,0.536282
311,0.53613
312,0.535984
313,0.535843
314,0.535706
315,0.535572
316,0.53544
317,0.535311
318,0.535185
319,0.535061
320,0.53494
321,0.534823
322,0.534711
323,0.534605
324,0.534507
325,0.534417
326,0.534337
327,0.534267
328,0.534209
329,0.534164
330,0.534132
331,0.534114
332,0.53411
333,0.53412
334,0.534143
335,0.53418
336,0.534229
337,0.534289
338,0.53436
339,0.53444
340,0.534527
341,0.534621
342,0.53472
343,0.534823
344,0.534929
345,0.535036
346,0.535145
347,0.535254
