iteration,value
0,1
0.05,1.00013
0.1,0.999939
0.15,0.999852
0.2,0.999492
0.25,0.999088
0.3,0.998417
0.35,0.997577
0.4,0.996412
0.45,0.994939
0.5,0.993021
0.55,0.990611
0.6,0.987562
0.65,0.983764
0.7,0.97903
0.75,0.97318
0.8,0.965965
0.85,0.95712
0.9,0.946313
0.95,0.933191
1,0.917344
1.05,0.898356
1.1,0.87579
1.15,0.849263
1.2,0.818452
1.25,0.783194
1.3,0.743503
1.35,0.699656
1.4,0.652115
1.45,0.600715
1.5,0.553127
1.55,0.500032
1.6,0.448795
1.65,0.399696
1.7,0.353557
1.75,0.311001
1.8,0.272397
1.85,0.237866
1.9,0.207336
1.95,0.180591
2,0.157325
2.05,0.137187
2.1,0.119816
2.15,0.104862
2.2,0.0919989
2.25,0.0809325
2.3,0.0714035
2.35,0.0631865
2.4,0.0560869
2.45,0.049939
2.5,0.0446018
2.55,0.039956
2.6,0.0359003
2.65,0.0323505
2.7,0.0292329
2.75,0.0264896
2.8,0.0240641
2.85,0.0219218
2.9,0.0200092
2.95,0.0183253
3,0.0167846
