iteration,value
1,0.832924
2,0.832479
3,0.83172
4,0.83071
5,0.829511
6,0.828176
7,0.826757
8,0.825292
9,0.823816
10,0.822354
11,0.820928
12,0.819553
13,0.818244
14,0.817012
15,0.815868
16,0.814818
17,0.813867
18,0.813019
19,0.812273
20,0.811628
21,0.811078
22,0.810617
23,0.810237
24,0.80993
25,0.809689
26,0.809505
27,0.809374
28,0.809289
29,0.809247
30,0.809246
31,0.809285
32,0.809365
33,0.809485
34,0.809648
35,0.809856
36,0.81011
37,0.810414
38,0.810768
39,0.811175
40,0.811636
41,0.812151
42,0.812721
43,0.813345
44,0.81402
45,0.814743
46,0.81551
47,0.816314
48,0.817148
49,0.818003
50,0.818869
51,0.819735
52,0.820588
53,0.821417
54,0.822208
55,0.822949
56,0.823629
57,0.824237
58,0.824767
59,0.825212
60,0.825568
61,0.825836
62,0.826017
63,0.826117
64,0.826143
65,0.826105
66,0.826015
67,0.825885
68,0.825729
69,0.82556
70,0.82539
71,0.825231
72,0.825093
73,0.824984
74,0.82491
75,0.824875
76,0.824879
77,0.82492
78,0.824997
79,0.825103
80,0.825232
81,0.825379
82,0.825534
83,0.825691
84,0.825844
85,0.825988
86,0.826118
87,0.826231
88,0.826327
89,0.826405
90,0.826467
91,0.826516
92,0.826554
93,0.826585
94,0.826613
95,0.826642
96,0.826673
97,0.82671
98,0.826754
99,0.826806
100,0.826866
101,0.826933
102,0.827006
103,0.827083
104,0.827163
105,0.827242
106,0.82732
107,0.827395
108,0.827466
109,0.827531
110,0.82759
111,0.827643
112,0.82769
113,0.827732
114,0.82777
115,0.827805
116,0.827838
117,0.827869
118,0.827901
119,0.827932
120,0.827965
121,0.828
122,0.828037
123,0.828077
124,0.82812
125,0.828166
126,0.828216
127,0.828271
128,0.828331
129,0.828397
130,0.828471
131,0.828554
132,0.828648
133,0.828755
134,0.828878
135,0.829018
136,0.829179
137,0.829363
138,0.829572
139,0.829809
140,0.830076
141,0.830376
142,0.830711
143,0.831081
144,0.83149
145,0.831936
146,0.832421
147,0.832944
148,0.833505
149,0.834102
150,0.834733
151,0.835394
152,0.836082
153,0.836794
154,0.837523
155,0.838266
156,0.839015
157,0.839764
158,0.840508
159,0.841239
160,0.841951
161,0.842638
162,0.843295
163,0.843916
164,0.844497
165,0.845034
166,0.845524
167,0.845966
168,0.846359
169,0.846702
170,0.846996
171,0.847244
172,0.847447
173,0.847608
174,0.84773
175,0.847818
176,0.847874
177,0.847903
178,0.84791
179,0.847897
180,0.847868
181,0.847828
182,0.84778
183,0.847726
184,0.847669
185,0.847611
186,0.847553
187,0.847499
188,0.847447
189,0.8474
190,0.847356
191,0.847317
192,0.84728
193,0.847246
194,0.847213
195,0.847181
196,0.847146
197,0.847108
198,0.847065
199,0.847015
200,0.846956
201,0.846887
202,0.846804
203,0.846708
204,0.846596
205,0.846468
206,0.846322
207,0.846157
208,0.845974
209,0.845771
210,0.84555
211,0.84531
212,0.845053
213,0.844779
214,0.844488
215,0.844184
216,0.843866
217,0.843537
218,0.843197
219,0.84285
