iteration,value
0,1
0.05,0.999772
0.1,0.99942
0.15,0.999097
0.2,0.998666
0.25,0.998211
0.3,0.997651
0.35,0.997025
0.4,0.996276
0.45,0.995414
0.5,0.994391
0.55,0.993195
0.6,0.991777
0.65,0.990105
0.7,0.988116
0.75,0.985755
0.8,0.982941
0.85,0.979587
0.9,0.975583
0.95,0.970806
1,0.965112
1.05,0.958339
1.1,0.950309
1.15,0.940838
1.2,0.929737
1.25,0.916834
1.3,0.901983
1.35,0.885087
1.4,0.866086
1.45,0.844615
1.5,0.823563
1.55,0.798824
1.6,0.773256
1.65,0.746879
1.7,0.720044
1.75,0.693116
1.8,0.66643
1.85,0.640275
1.9,0.61488
1.95,0.590418
2,0.567004
2.05,0.544711
2.1,0.523568
2.15,0.503578
2.2,0.484719
2.25,0.466955
2.3,0.450237
2.35,0.434513
2.4,0.419723
2.45,0.405811
2.5,0.392719
2.55,0.380392
2.6,0.368775
2.65,0.35782
2.7,0.347476
2.75,0.337709
2.8,0.328454
2.85,0.31973
2.9,0.311371
2.95,0.303656
3,0.295794
