iteration,value
1,0.590125
2,0.589541
3,0.588401
4,0.586863
5,0.585067
6,0.583131
7,0.581143
8,0.579162
9,0.577223
10,0.575345
11,0.573535
12,0.571798
13,0.57014
14,0.56857
15,0.567102
16,0.565754
17,0.564542
18,0.563487
19,0.562602
20,0.561903
21,0.561396
22,0.561087
23,0.560977
24,0.561065
25,0.561348
26,0.561825
27,0.56249
28,0.563341
29,0.564376
30,0.56559
31,0.566982
32,0.568548
33,0.570283
34,0.572184
35,0.574246
36,0.576461
37,0.578825
38,0.58133
39,0.58397
40,0.586738
41,0.589627
42,0.59263
43,0.595739
44,0.598945
45,0.602236
46,0.6056
47,0.609019
48,0.612475
49,0.615943
50,0.619395
51,0.622799
52,0.626121
53,0.629321
54,0.63236
55,0.6352
56,0.637801
57,0.64013
58,0.642158
59,0.643864
60,0.645235
61,0.646269
62,0.646973
63,0.647364
64,0.647469
65,0.647324
66,0.64697
67,0.646455
68,0.645827
69,0.645136
70,0.644428
71,0.643747
72,0.643131
73,0.64261
74,0.642206
75,0.641933
76,0.641796
77,0.641792
78,0.64191
79,0.642134
80,0.64244
81,0.642806
82,0.643206
83,0.643613
84,0.644007
85,0.644366
86,0.644677
87,0.644931
88,0.645122
89,0.645251
90,0.645325
91,0.645351
92,0.645342
93,0.645309
94,0.645266
95,0.645225
96,0.645195
97,0.645185
98,0.6452
99,0.645242
100,0.64531
101,0.645402
102,0.645511
103,0.645632
104,0.645757
105,0.645879
106,0.645992
107,0.646088
108,0.646165
109,0.646219
110,0.64625
111,0.646257
112,0.646243
113,0.646211
114,0.646165
115,0.646108
116,0.646047
117,0.645984
118,0.645924
119,0.64587
120,0.645825
121,0.64579
122,0.645768
123,0.645759
124,0.645764
125,0.645785
126,0.645824
127,0.645881
128,0.645959
129,0.646063
130,0.646196
131,0.646364
132,0.646572
133,0.646829
134,0.647141
135,0.647518
136,0.647968
137,0.6485
138,0.649123
139,0.649847
140,0.650679
141,0.651627
142,0.652699
143,0.653899
144,0.655232
145,0.6567
146,0.658305
147,0.660044
148,0.661915
149,0.663911
150,0.666024
151,0.668242
152,0.670553
153,0.672939
154,0.675381
155,0.67786
156,0.680352
157,0.682832
158,0.685277
159,0.687661
160,0.68996
161,0.692149
162,0.694206
163,0.696113
164,0.697852
165,0.69941
166,0.700777
167,0.701946
168,0.702915
169,0.703687
170,0.704264
171,0.704657
172,0.704874
173,0.70493
174,0.704839
175,0.704618
176,0.704283
177,0.703852
178,0.703342
179,0.702769
180,0.70215
181,0.701499
182,0.70083
183,0.700156
184,0.699485
185,0.698827
186,0.698189
187,0.697576
188,0.696991
189,0.696437
190,0.695914
191,0.69542
192,0.694952
193,0.694509
194,0.694083
195,0.69367
196,0.693263
197,0.692855
198,0.692439
199,0.692007
200,0.691552
201,0.691067
202,0.690546
203,0.689981
204,0.689368
205,0.688702
206,0.68798
207,0.687199
208,0.686359
209,0.685459
210,0.6845
211,0.683484
212,0.682415
213,0.681295
214,0.680131
215,0.678926
216,0.677689
217,0.676423
218,0.675137
219,0.673837
220,0.672529
221,0.671219
222,0.669915
223,0.66862
224,0.667341
225,0.666081
226,0.664845
227,0.663635
228,0.662453
229,0.661301
230,0.660178
231,0.659086
232,0.658022
233,0.656984
234,0.655972
235,0.65498
236,0.654008
237,0.653049
238,0.652102
239,0.651162
240,0.650225
241,0.649288
242,0.648348
243,0.6474
244,0.646444
245,0.645476
246,0.644497
247,0.643504
248,0.642499
249,0.641482
250,0.640454
251,0.639418
252,0.638375
253,0.637329
254,0.636284
255,0.635242
256,0.634209
257,0.633187
258,0.632182
259,0.631196
260,0.630233
261,0.629298
262,0.628392
263,0.627517
264,0.626677
265,0.625872
266,0.625103
267,0.624369
268,0.623671
269,0.623007
270,0.622376
271,0.621775
272,0.621202
273,0.620654
274,0.620129
275,0.619622
276,0.619132
277,0.618654
278,0.618187
279,0.617727
280,0.617272
281,0.616821
282,0.616373
283,0.615925
284,0.61548
285,0.615036
286,0.614595
287,0.614157
288,0.613726
289,0.613302
290,0.612888
291,0.612487
292,0.612102
293,0.611734
294,0.611386
295,0.611061
296,0.61076
297,0.610486
298,0.610239
299,0.61002
300,0.609829
301,0.609667
302,0.609531
303,0.609422
304,0.609337
305,0.609275
306,0.609233
307,0.609208
308,0.609198
309,0.609201
310,0.609213
311,0.609233
312,0.609257
313,0.609284
314,0.609313
315,0.609341
316,0.609369
317,0.609396
318,0.609422
319,0.609448
320,0.609474
321,0.609503
322,0.609535
323,0.609572
324,0.609617
325,0.609671
