iteration,value
1,0.633739
2,0.633153
3,0.63232
4,0.631316
5,0.63021
6,0.629057
7,0.627896
8,0.626751
9,0.625633
10,0.624544
11,0.623485
12,0.622453
13,0.621447
14,0.620472
15,0.619533
16,0.61864
17,0.617805
18,0.617038
19,0.616351
20,0.615754
21,0.615255
22,0.614861
23,0.614574
24,0.614398
25,0.614335
26,0.614386
27,0.614552
28,0.614832
29,0.615227
30,0.615736
31,0.616359
32,0.617093
33,0.617938
34,0.618888
35,0.619942
36,0.621096
37,0.622344
38,0.623684
39,0.625109
40,0.626616
41,0.628201
42,0.62986
43,0.631587
44,0.633377
45,0.635226
46,0.637125
47,0.639068
48,0.641042
49,0.643036
50,0.645036
51,0.647025
52,0.648983
53,0.650891
54,0.652728
55,0.654472
56,0.656101
57,0.657598
58,0.658944
59,0.660128
60,0.661141
61,0.66198
62,0.662646
63,0.663146
64,0.663493
65,0.663704
66,0.6638
67,0.663803
68,0.663739
69,0.663633
70,0.66351
71,0.663393
72,0.663303
73,0.663255
74,0.663263
75,0.663335
76,0.663474
77,0.66368
78,0.663947
79,0.664268
80,0.664631
81,0.665025
82,0.665436
83,0.66585
84,0.666256
85,0.666643
86,0.667004
87,0.667333
88,0.667628
89,0.667888
90,0.668117
91,0.668318
92,0.668497
93,0.668662
94,0.668818
95,0.668972
96,0.66913
97,0.669295
98,0.66947
99,0.669657
100,0.669856
101,0.670064
102,0.670279
103,0.670498
104,0.670717
105,0.670931
106,0.671138
107,0.671335
108,0.671518
109,0.671687
110,0.671841
111,0.67198
112,0.672106
113,0.672219
114,0.672322
115,0.672417
116,0.672507
117,0.672594
118,0.67268
119,0.672767
120,0.672857
121,0.67295
122,0.673047
123,0.67315
124,0.673259
125,0.673375
126,0.673498
127,0.67363
128,0.673772
129,0.673926
130,0.674095
131,0.674282
132,0.67449
133,0.674724
134,0.674987
135,0.675286
136,0.675624
137,0.676008
138,0.676442
139,0.676933
140,0.677484
141,0.6781
142,0.678787
143,0.679547
144,0.680383
145,0.681298
146,0.682291
147,0.683364
148,0.684515
149,0.68574
150,0.687037
151,0.688398
152,0.689818
153,0.691287
154,0.692797
155,0.694335
156,0.69589
157,0.697449
158,0.698998
159,0.700524
160,0.702012
161,0.703451
162,0.704828
163,0.706131
164,0.70735
165,0.708479
166,0.70951
167,0.710439
168,0.711264
169,0.711984
170,0.712601
171,0.713118
172,0.71354
173,0.713872
174,0.714122
175,0.714297
176,0.714405
177,0.714456
178,0.714457
179,0.714417
180,0.714345
181,0.714247
182,0.714132
183,0.714005
184,0.713871
185,0.713737
186,0.713605
187,0.713479
188,0.713361
189,0.713251
190,0.713152
191,0.713061
192,0.712979
193,0.712904
194,0.712832
195,0.712762
196,0.71269
197,0.712612
198,0.712525
199,0.712425
200,0.712308
201,0.712169
202,0.712006
203,0.711815
204,0.711592
205,0.711336
206,0.711045
207,0.710716
