iteration,value
0,1
0.05,1.00036
0.1,1.00052
0.15,1.00076
0.2,1.00083
0.25,1.00088
0.3,1.00077
0.35,1.00055
0.4,1.00014
0.45,0.999523
0.5,0.998622
0.55,0.997398
0.6,0.995749
0.65,0.993596
0.7,0.990804
0.75,0.987243
0.8,0.982729
0.85,0.977064
0.9,0.969998
0.95,0.961254
1,0.950506
1.05,0.937409
1.1,0.921584
1.15,0.902666
1.2,0.880305
1.25,0.854238
1.3,0.824297
1.35,0.790494
1.4,0.752945
1.45,0.711229
1.5,0.671627
1.55,0.625959
1.6,0.580396
1.65,0.535155
1.7,0.491021
1.75,0.4487
1.8,0.40874
1.85,0.371506
1.9,0.337198
1.95,0.30587
2,0.277466
2.05,0.251853
2.1,0.228846
2.15,0.208234
2.2,0.189798
2.25,0.17332
2.3,0.158591
2.35,0.145419
2.4,0.133628
2.45,0.12306
2.5,0.113572
2.55,0.105039
2.6,0.0973504
2.65,0.09041
2.7,0.0841295
2.75,0.0784393
2.8,0.0732648
2.85,0.0685635
2.9,0.0642615
2.95,0.0603489
3,0.0567443
