iteration,value
1,1.01961
2,1.01956
3,1.01946
4,1.01934
5,1.01921
6,1.01907
7,1.01892
8,1.01878
9,1.01864
10,1.01851
11,1.01837
12,1.01822
13,1.01806
14,1.01789
15,1.01771
16,1.0175
17,1.01727
18,1.01703
19,1.01677
20,1.01649
21,1.01619
22,1.01589
23,1.01557
24,1.01525
25,1.01492
26,1.01458
27,1.01424
28,1.0139
29,1.01355
30,1.0132
31,1.01284
32,1.01249
33,1.01213
34,1.01177
35,1.01142
36,1.01106
37,1.01071
38,1.01035
39,1.01
40,1.00965
41,1.0093
42,1.00896
43,1.00861
44,1.00827
45,1.00793
46,1.00759
47,1.00725
48,1.00691
49,1.00657
50,1.00623
51,1.0059
52,1.00557
53,1.00524
54,1.00491
55,1.00458
56,1.00426
57,1.00394
58,1.00363
59,1.00332
60,1.00302
61,1.00272
62,1.00243
63,1.00215
64,1.00187
65,1.0016
66,1.00133
67,1.00108
68,1.00083
69,1.00058
70,1.00035
71,1.00012
72,0.999895
73,0.99968
74,0.999472
75,0.99927
76,0.999076
77,0.998887
78,0.998705
79,0.99853
80,0.998361
81,0.998198
82,0.998042
83,0.997892
84,0.997748
85,0.99761
86,0.99748
87,0.997355
88,0.997238
89,0.997127
90,0.997022
91,0.996925
92,0.996835
93,0.996752
94,0.996676
95,0.996608
96,0.996546
97,0.996492
98,0.996445
99,0.996406
100,0.996373
101,0.996348
102,0.99633
103,0.996319
104,0.996315
105,0.996318
106,0.996328
107,0.996344
108,0.996366
109,0.996395
110,0.996431
111,0.996472
112,0.99652
113,0.996574
114,0.996633
115,0.996699
116,0.99677
117,0.996848
118,0.996931
119,0.99702
120,0.997114
121,0.997215
122,0.997321
123,0.997433
124,0.997551
125,0.997674
126,0.997803
127,0.997938
128,0.998079
129,0.998225
130,0.998377
131,0.998534
132,0.998697
133,0.998865
134,0.999038
135,0.999217
136,0.999402
137,0.999591
138,0.999785
139,0.999984
140,1.00019
141,1.0004
142,1.00061
143,1.00083
144,1.00105
145,1.00128
146,1.00151
147,1.00175
148,1.00199
149,1.00223
150,1.00248
151,1.00273
152,1.00299
153,1.00325
154,1.00352
155,1.00379
156,1.00406
157,1.00434
158,1.00462
159,1.00491
160,1.00519
161,1.00549
162,1.00578
163,1.00608
164,1.00639
165,1.0067
166,1.00701
167,1.00732
168,1.00764
169,1.00796
170,1.00829
171,1.00862
172,1.00895
173,1.00929
174,1.00962
175,1.00996
176,1.01031
177,1.01066
178,1.01101
179,1.01136
180,1.01172
181,1.01207
182,1.01244
183,1.0128
184,1.01317
185,1.01354
186,1.01391
187,1.01428
188,1.01466
189,1.01504
190,1.01542
191,1.01581
192,1.0162
193,1.01658
194,1.01698
195,1.01737
196,1.01777
197,1.01817
198,1.01857
199,1.01897
200,1.01938
201,1.01978
202,1.02019
203,1.0206
204,1.02102
205,1.02143
206,1.02185
207,1.02227
208,1.02269
209,1.02311
210,1.02354
211,1.02396
212,1.02439
213,1.02482
214,1.02525
215,1.02569
216,1.02612
217,1.02655
218,1.02699
219,1.02743
220,1.02787
221,1.02831
222,1.02875
223,1.0292
224,1.02964
225,1.03008
226,1.03053
227,1.03098
228,1.03142
229,1.03187
230,1.03232
231,1.03276
232,1.03321
233,1.03366
234,1.0341
235,1.03454
236,1.03498
237,1.03542
238,1.03586
239,1.03629
240,1.03671
241,1.03713
242,1.03755
243,1.03795
244,1.03835
245,1.03874
246,1.03912
247,1.03948
248,1.03984
249,1.04017
250,1.0405
251,1.0408
252,1.04109
253,1.04135
254,1.0416
255,1.04182
256,1.04201
257,1.04219
258,1.04233
259,1.04245
260,1.04254
261,1.0426
262,1.04263
263,1.04264
264,1.04261
265,1.04256
266,1.04248
267,1.04237
268,1.04224
269,1.04208
270,1.0419
271,1.0417
272,1.04148
273,1.04124
274,1.04099
275,1.04073
276,1.04046
277,1.04018
278,1.0399
279,1.03962
280,1.03934
281,1.03906
282,1.03879
283,1.03853
284,1.03828
285,1.03804
286,1.03781
287,1.0376
288,1.03741
289,1.03723
290,1.03706
291,1.03692
292,1.03678
293,1.03666
294,1.03656
295,1.03646
296,1.03638
297,1.0363
298,1.03623
299,1.03616
300,1.0361
301,1.03603
302,1.03597
303,1.0359
304,1.03583
305,1.03575
306,1.03566
307,1.03556
308,1.03546
309,1.03534
310,1.03522
311,1.03509
312,1.03495
313,1.03481
314,1.03466
315,1.0345
316,1.03434
317,1.03418
318,1.03402
319,1.03386
320,1.03371
321,1.03355
322,1.03341
323,1.03326
324,1.03313
325,1.033
326,1.03287
327,1.03276
328,1.03265
329,1.03254
330,1.03244
331,1.03235
332,1.03226
333,1.03217
334,1.03208
335,1.032
336,1.03191
337,1.03182
338,1.03173
339,1.03164
340,1.03154
341,1.03144
342,1.03134
343,1.03123
344,1.03112
345,1.03101
346,1.0309
347,1.03078
348,1.03066
349,1.03055
350,1.03043
351,1.03031
352,1.0302
353,1.03009
354,1.02997
355,1.02987
356,1.02976
357,1.02966
358,1.02956
359,1.02947
360,1.02937
361,1.02928
362,1.02919
363,1.02911
364,1.02902
365,1.02894
366,1.02885
367,1.02876
368,1.02868
369,1.02859
370,1.0285
371,1.02841
372,1.02832
373,1.02823
374,1.02813
375,1.02804
376,1.02794
377,1.02785
378,1.02775
379,1.02766
380,1.02757
381,1.02747
382,1.02738
383,1.02729
384,1.0272
385,1.02711
386,1.02703
387,1.02694
388,1.02686
389,1.02677
390,1.02669
391,1.02661
392,1.02653
393,1.02645
394,1.02637
395,1.02629
396,1.02622
397,1.02614
398,1.02606
399,1.02598
400,1.0259
401,1.02582
402,1.02574
403,1.02565
404,1.02557
405,1.02549
406,1.02541
407,1.02533
408,1.02525
409,1.02517
410,1.0251
411,1.02502
412,1.02494
413,1.02487
414,1.02479
415,1.02472
416,1.02464
417,1.02457
418,1.0245
419,1.02442
420,1.02435
421,1.02428
422,1.02421
423,1.02414
424,1.02407
425,1.024
426,1.02392
427,1.02385
428,1.02378
429,1.02371
430,1.02364
431,1.02357
432,1.0235
433,1.02343
434,1.02335
435,1.02328
436,1.02321
437,1.02314
438,1.02307
439,1.023
440,1.02294
441,1.02287
442,1.0228
443,1.02273
444,1.02266
445,1.02259
446,1.02253
447,1.02246
448,1.02239
449,1.02232
450,1.02225
451,1.02219
452,1.02212
453,1.02205
454,1.02198
455,1.02191
456,1.02185
457,1.02178
458,1.02171
459,1.02164
460,1.02157
461,1.02151
462,1.02144
463,1.02137
464,1.0213
465,1.02124
466,1.02117
467,1.0211
468,1.02104
469,1.02097
470,1.02091
471,1.02084
472,1.02077
473,1.02071
474,1.02064
475,1.02058
476,1.02051
477,1.02045
478,1.02039
479,1.02032
480,1.02026
481,1.02019
482,1.02013
483,1.02006
484,1.02
485,1.01994
486,1.01987
487,1.01981
488,1.01975
489,1.01968
490,1.01962
491,1.01956
492,1.0195
493,1.01943
494,1.01937
495,1.01931
496,1.01925
497,1.01918
498,1.01912
499,1.01906
500,1.019
501,1.01893
502,1.01887
503,1.01881
504,1.01875
505,1.01869
506,1.01863
507,1.01856
508,1.0185
509,1.01844
510,1.01838
511,1.01832
512,1.01826
513,1.0182
514,1.01814
515,1.01808
516,1.01802
517,1.01796
518,1.0179
519,1.01784
520,1.01778
521,1.01772
522,1.01766
523,1.0176
524,1.01754
525,1.01748
526,1.01742
527,1.01736
528,1.01731
529,1.01725
530,1.01719
531,1.01713
532,1.01707
533,1.01701
534,1.01695
535,1.0169
536,1.01684
537,1.01678
538,1.01672
539,1.01666
540,1.0166
541,1.01655
542,1.01649
543,1.01643
544,1.01637
545,1.01632
546,1.01626
547,1.0162
548,1.01614
549,1.01609
550,1.01603
551,1.01597
552,1.01592
553,1.01586
554,1.0158
555,1.01575
556,1.01569
557,1.01564
558,1.01558
559,1.01552
560,1.01547
561,1.01541
562,1.01536
563,1.0153
564,1.01524
565,1.01519
566,1.01513
567,1.01508
568,1.01502
569,1.01497
570,1.01491
571,1.01486
572,1.0148
573,1.01475
574,1.01469
575,1.01464
576,1.01458
577,1.01453
578,1.01447
579,1.01442
580,1.01437
581,1.01431
582,1.01426
583,1.0142
584,1.01415
585,1.0141
586,1.01404
587,1.01399
588,1.01394
589,1.01389
590,1.01384
591,1.01378
592,1.01373
593,1.01368
594,1.01363
595,1.01358
596,1.01353
597,1.01348
598,1.01344
599,1.01339
600,1.01334
601,1.0133
602,1.01325
603,1.01321
604,1.01316
605,1.01312
606,1.01308
607,1.01304
608,1.013
609,1.01296
610,1.01293
611,1.0129
612,1.01286
613,1.01283
614,1.01281
615,1.01278
616,1.01276
617,1.01274
618,1.01273
619,1.01271
620,1.01271
621,1.0127
622,1.0127
623,1.0127
624,1.01271
625,1.01272
626,1.01274
627,1.01277
628,1.0128
629,1.01283
630,1.01287
631,1.01292
632,1.01298
633,1.01304
634,1.01312
635,1.0132
636,1.01329
637,1.01339
638,1.01349
639,1.01361
640,1.01374
641,1.01388
642,1.01403
643,1.01419
644,1.01437
645,1.01455
646,1.01475
647,1.01496
648,1.01518
649,1.01541
650,1.01566
651,1.01592
652,1.0162
653,1.01648
654,1.01678
655,1.01709
656,1.01742
657,1.01775
658,1.0181
659,1.01845
660,1.01882
661,1.0192
662,1.01958
663,1.01997
664,1.02037
665,1.02078
666,1.02119
667,1.0216
668,1.02202
669,1.02244
670,1.02286
671,1.02327
672,1.02369
673,1.0241
674,1.0245
675,1.0249
676,1.02529
677,1.02567
678,1.02604
679,1.02639
680,1.02674
681,1.02707
682,1.02739
683,1.02769
684,1.02798
685,1.02825
686,1.0285
687,1.02874
688,1.02896
689,1.02916
690,1.02935
691,1.02952
692,1.02967
693,1.02981
694,1.02994
695,1.03005
696,1.03015
697,1.03024
698,1.03032
699,1.03039
700,1.03045
701,1.03051
702,1.03056
703,1.0306
704,1.03064
705,1.03068
706,1.03072
707,1.03076
708,1.0308
709,1.03084
710,1.03088
711,1.03092
712,1.03097
713,1.03103
714,1.03108
715,1.03115
716,1.03121
717,1.03129
718,1.03137
719,1.03145
720,1.03154
721,1.03163
722,1.03173
723,1.03183
724,1.03193
725,1.03204
726,1.03215
727,1.03226
728,1.03237
729,1.03247
730,1.03258
731,1.03269
732,1.03279
733,1.03289
734,1.03299
735,1.03308
736,1.03317
737,1.03325
738,1.03332
739,1.03338
740,1.03344
741,1.03349
742,1.03354
743,1.03357
744,1.0336
745,1.03362
746,1.03363
747,1.03363
748,1.03363
749,1.03362
750,1.0336
751,1.03358
752,1.03355
753,1.03352
754,1.03348
755,1.03344
756,1.0334
757,1.03335
758,1.0333
759,1.03326
760,1.03321
761,1.03316
762,1.03311
763,1.03306
764,1.03301
765,1.03297
766,1.03293
767,1.03289
768,1.03285
769,1.03281
770,1.03278
771,1.03275
772,1.03272
773,1.03269
774,1.03267
775,1.03265
776,1.03262
777,1.0326
778,1.03258
779,1.03256
780,1.03254
781,1.03252
782,1.0325
783,1.03247
784,1.03244
785,1.03241
786,1.03238
787,1.03235
788,1.03231
789,1.03226
790,1.03221
791,1.03216
792,1.0321
793,1.03204
794,1.03198
795,1.03191
796,1.03183
797,1.03176
798,1.03167
799,1.03159
800,1.0315
801,1.03141
802,1.03131
803,1.03121
804,1.03112
805,1.03101
806,1.03091
807,1.03081
808,1.03071
809,1.0306
810,1.0305
811,1.0304
812,1.0303
813,1.03019
814,1.03009
815,1.03
816,1.0299
817,1.0298
818,1.02971
819,1.02961
820,1.02952
821,1.02943
822,1.02934
823,1.02925
824,1.02916
825,1.02907
826,1.02899
827,1.0289
828,1.02881
829,1.02872
830,1.02863
831,1.02854
832,1.02844
833,1.02835
834,1.02825
835,1.02815
836,1.02805
837,1.02795
838,1.02784
839,1.02774
840,1.02762
841,1.02751
842,1.0274
843,1.02728
844,1.02716
845,1.02704
846,1.02691
847,1.02679
848,1.02666
849,1.02653
850,1.0264
851,1.02627
852,1.02614
853,1.026
854,1.02587
855,1.02574
856,1.02561
857,1.02547
858,1.02534
859,1.02521
860,1.02508
861,1.02495
862,1.02482
863,1.02469
864,1.02456
865,1.02444
866,1.02431
867,1.02418
868,1.02406
869,1.02394
870,1.02381
871,1.02369
872,1.02356
873,1.02344
874,1.02332
875,1.02319
876,1.02307
877,1.02294
878,1.02282
879,1.02269
880,1.02256
881,1.02244
882,1.02231
883,1.02218
884,1.02204
885,1.02191
886,1.02177
887,1.02164
888,1.0215
889,1.02136
890,1.02122
891,1.02108
892,1.02094
893,1.0208
894,1.02065
895,1.02051
896,1.02037
897,1.02022
898,1.02008
899,1.01993
900,1.01979
901,1.01964
902,1.0195
903,1.01935
904,1.01921
905,1.01906
906,1.01892
907,1.01878
908,1.01864
909,1.01849
910,1.01835
911,1.01821
912,1.01807
913,1.01793
914,1.0178
915,1.01766
916,1.01752
917,1.01738
918,1.01725
919,1.01711
920,1.01697
921,1.01683
922,1.0167
923,1.01656
924,1.01642
925,1.01628
926,1.01614
927,1.016
928,1.01586
929,1.01572
930,1.01558
931,1.01544
932,1.0153
933,1.01516
934,1.01501
935,1.01487
936,1.01473
937,1.01458
938,1.01444
939,1.01429
940,1.01415
941,1.014
942,1.01386
943,1.01371
944,1.01357
945,1.01342
946,1.01328
947,1.01313
948,1.01299
949,1.01284
950,1.0127
951,1.01256
952,1.01242
953,1.01228
954,1.01214
955,1.01199
956,1.01186
957,1.01172
958,1.01158
959,1.01144
960,1.0113
961,1.01116
962,1.01103
963,1.01089
964,1.01075
965,1.01062
966,1.01048
967,1.01035
968,1.01021
969,1.01007
970,1.00994
971,1.0098
972,1.00967
973,1.00953
974,1.00939
975,1.00926
976,1.00912
977,1.00898
978,1.00885
979,1.00871
980,1.00857
981,1.00844
982,1.0083
983,1.00816
984,1.00803
985,1.00789
986,1.00775
987,1.00762
988,1.00748
989,1.00734
990,1.00721
991,1.00707
992,1.00694
993,1.00681
994,1.00667
995,1.00654
996,1.00641
997,1.00628
998,1.00614
999,1.00601
1000,1.00588
1001,1.00575
1002,1.00563
1003,1.0055
1004,1.00537
1005,1.00524
1006,1.00511
1007,1.00499
1008,1.00486
1009,1.00473
1010,1.00461
1011,1.00448
1012,1.00436
1013,1.00423
1014,1.00411
1015,1.00398
1016,1.00386
1017,1.00374
1018,1.00361
1019,1.00349
1020,1.00336
1021,1.00324
1022,1.00312
1023,1.00299
1024,1.00287
1025,1.00275
1026,1.00262
1027,1.0025
1028,1.00238
1029,1.00226
1030,1.00214
1031,1.00202
1032,1.00189
1033,1.00177
1034,1.00166
1035,1.00154
1036,1.00142
1037,1.0013
1038,1.00118
1039,1.00106
1040,1.00095
1041,1.00083
1042,1.00072
1043,1.0006
1044,1.00049
1045,1.00037
1046,1.00026
1047,1.00015
1048,1.00004
1049,0.999925
1050,0.999814
1051,0.999703
1052,0.999593
1053,0.999483
1054,0.999374
1055,0.999265
1056,0.999157
1057,0.999049
1058,0.998941
1059,0.998834
1060,0.998727
1061,0.99862
1062,0.998514
1063,0.998408
1064,0.998303
1065,0.998197
1066,0.998092
1067,0.997988
1068,0.997884
1069,0.99778
1070,0.997677
1071,0.997574
1072,0.997472
1073,0.99737
1074,0.997269
1075,0.997168
1076,0.997067
1077,0.996968
1078,0.996868
1079,0.99677
1080,0.996672
1081,0.996574
1082,0.996478
1083,0.996381
1084,0.996286
1085,0.996191
1086,0.996097
1087,0.996003
1088,0.99591
1089,0.995818
1090,0.995726
1091,0.995635
1092,0.995544
1093,0.995454
1094,0.995365
1095,0.995276
1096,0.995187
1097,0.995099
1098,0.995012
1099,0.994925
1100,0.994839
1101,0.994754
1102,0.994668
1103,0.994584
1104,0.994499
1105,0.994416
1106,0.994332
1107,0.99425
1108,0.994168
1109,0.994086
1110,0.994005
1111,0.993924
1112,0.993844
1113,0.993765
1114,0.993686
1115,0.993608
1116,0.99353
1117,0.993453
1118,0.993377
1119,0.993301
1120,0.993226
1121,0.993151
1122,0.993077
1123,0.993004
1124,0.992932
1125,0.99286
1126,0.992789
1127,0.992719
1128,0.992649
1129,0.99258
1130,0.992511
1131,0.992444
1132,0.992377
1133,0.99231
1134,0.992245
1135,0.99218
1136,0.992115
1137,0.992052
1138,0.991989
1139,0.991926
1140,0.991864
1141,0.991803
1142,0.991743
1143,0.991683
1144,0.991623
1145,0.991564
1146,0.991506
1147,0.991449
1148,0.991392
1149,0.991335
1150,0.99128
1151,0.991225
1152,0.99117
1153,0.991116
1154,0.991063
1155,0.99101
1156,0.990958
1157,0.990907
1158,0.990856
1159,0.990806
1160,0.990757
1161,0.990709
1162,0.990661
1163,0.990613
1164,0.990567
1165,0.990521
1166,0.990476
1167,0.990431
1168,0.990388
1169,0.990344
1170,0.990302
1171,0.99026
1172,0.990219
1173,0.990179
1174,0.990139
1175,0.990101
1176,0.990062
1177,0.990025
1178,0.989988
1179,0.989951
1180,0.989916
1181,0.989881
1182,0.989846
1183,0.989812
1184,0.989779
1185,0.989747
1186,0.989715
1187,0.989683
1188,0.989653
1189,0.989623
1190,0.989593
1191,0.989564
1192,0.989536
1193,0.989509
1194,0.989482
1195,0.989455
1196,0.98943
1197,0.989405
1198,0.98938
1199,0.989356
1200,0.989333
1201,0.989311
1202,0.989289
1203,0.989268
1204,0.989247
1205,0.989227
1206,0.989208
1207,0.989189
1208,0.989171
1209,0.989154
1210,0.989137
1211,0.989121
1212,0.989106
1213,0.989091
1214,0.989077
1215,0.989063
1216,0.98905
1217,0.989038
1218,0.989026
1219,0.989015
1220,0.989005
1221,0.988995
1222,0.988985
1223,0.988977
1224,0.988969
1225,0.988961
1226,0.988954
1227,0.988948
1228,0.988942
1229,0.988936
1230,0.988932
1231,0.988927
1232,0.988924
1233,0.988921
1234,0.988918
1235,0.988916
1236,0.988915
1237,0.988914
1238,0.988914
1239,0.988914
1240,0.988915
1241,0.988917
1242,0.988919
1243,0.988922
1244,0.988925
1245,0.988929
1246,0.988933
1247,0.988938
1248,0.988944
1249,0.98895
1250,0.988956
1251,0.988964
1252,0.988971
1253,0.98898
1254,0.988988
1255,0.988998
1256,0.989008
1257,0.989018
1258,0.989029
1259,0.989041
1260,0.989053
1261,0.989065
1262,0.989078
1263,0.989092
1264,0.989106
1265,0.98912
1266,0.989136
1267,0.989151
1268,0.989167
1269,0.989184
1270,0.989201
1271,0.989218
1272,0.989236
1273,0.989255
1274,0.989274
1275,0.989294
1276,0.989314
1277,0.989334
1278,0.989355
1279,0.989377
1280,0.989399
1281,0.989421
1282,0.989444
1283,0.989468
1284,0.989492
1285,0.989516
1286,0.989541
1287,0.989566
1288,0.989592
1289,0.989619
1290,0.989646
1291,0.989673
1292,0.989701
1293,0.989729
1294,0.989757
1295,0.989787
1296,0.989816
1297,0.989846
1298,0.989877
1299,0.989908
1300,0.989939
1301,0.989971
1302,0.990003
1303,0.990035
1304,0.990068
1305,0.990102
1306,0.990136
1307,0.99017
1308,0.990205
1309,0.99024
1310,0.990275
1311,0.990311
1312,0.990348
1313,0.990384
1314,0.990422
1315,0.990459
1316,0.990497
1317,0.990535
1318,0.990574
1319,0.990613
1320,0.990653
1321,0.990693
1322,0.990733
1323,0.990774
1324,0.990815
1325,0.990857
1326,0.990898
1327,0.990941
1328,0.990983
1329,0.991026
1330,0.99107
1331,0.991113
1332,0.991157
1333,0.991202
1334,0.991246
1335,0.991292
1336,0.991337
1337,0.991383
1338,0.991429
1339,0.991475
1340,0.991522
1341,0.991569
1342,0.991617
1343,0.991664
1344,0.991712
1345,0.991761
1346,0.99181
1347,0.991859
1348,0.991908
1349,0.991957
1350,0.992007
1351,0.992058
1352,0.992108
1353,0.992159
1354,0.99221
1355,0.992261
1356,0.992313
1357,0.992365
1358,0.992417
1359,0.99247
1360,0.992522
1361,0.992575
1362,0.992629
1363,0.992682
1364,0.992736
1365,0.99279
1366,0.992845
1367,0.992899
1368,0.992954
1369,0.993009
1370,0.993064
1371,0.99312
1372,0.993176
1373,0.993232
1374,0.993288
1375,0.993344
1376,0.993401
1377,0.993458
1378,0.993515
1379,0.993573
1380,0.99363
1381,0.993688
1382,0.993746
1383,0.993804
1384,0.993862
1385,0.993921
1386,0.993979
1387,0.994038
1388,0.994097
1389,0.994157
1390,0.994216
1391,0.994276
1392,0.994336
1393,0.994396
1394,0.994456
1395,0.994516
1396,0.994577
1397,0.994637
1398,0.994698
1399,0.994759
1400,0.99482
1401,0.994881
1402,0.994943
1403,0.995004
1404,0.995066
1405,0.995128
1406,0.99519
1407,0.995252
1408,0.995314
1409,0.995376
1410,0.995439
1411,0.995501
1412,0.995564
1413,0.995627
1414,0.99569
1415,0.995753
1416,0.995816
1417,0.995879
1418,0.995943
1419,0.996006
1420,0.99607
1421,0.996133
1422,0.996197
1423,0.996261
1424,0.996325
1425,0.996389
1426,0.996453
1427,0.996517
1428,0.996582
1429,0.996646
1430,0.996711
1431,0.996775
1432,0.99684
1433,0.996904
