iteration,value
0,0.095464
0.0125,0.0968199
0.025,0.0981991
0.0375,0.0996381
0.05,0.101084
0.0625,0.102576
0.075,0.104087
0.0875,0.105637
0.1,0.107214
0.1125,0.108828
0.125,0.110474
0.1375,0.112156
0.15,0.113872
0.1625,0.115626
0.175,0.117418
0.1875,0.119248
0.2,0.121118
0.2125,0.123029
0.225,0.124981
0.2375,0.126977
0.25,0.129017
0.2625,0.131102
0.275,0.133235
0.2875,0.135415
0.3,0.137645
0.3125,0.139925
0.325,0.142258
0.3375,0.144644
0.35,0.147085
0.3625,0.149582
0.375,0.152138
0.3875,0.154754
0.4,0.157432
0.4125,0.160173
0.425,0.162979
0.4375,0.165852
0.45,0.168794
0.4625,0.171807
0.475,0.174893
0.4875,0.178054
0.5,0.181292
0.5125,0.184609
0.525,0.188009
0.5375,0.191492
0.55,0.195061
0.5625,0.19872
0.575,0.20247
0.5875,0.206315
0.6,0.210257
0.6125,0.214298
0.625,0.218443
0.6375,0.222692
0.65,0.227051
0.6625,0.231522
0.675,0.236108
0.6875,0.240812
0.7,0.245639
0.7125,0.250591
0.725,0.255672
0.7375,0.260885
0.75,0.266235
0.7625,0.271725
0.775,0.27736
0.7875,0.283142
0.8,0.289078
0.8125,0.29517
0.825,0.301423
0.8375,0.307841
0.85,0.314428
0.8625,0.321189
0.875,0.32813
0.8875,0.335253
0.9,0.342565
0.9125,0.350071
0.925,0.357774
0.9375,0.365681
0.95,0.373795
0.9625,0.382121
0.975,0.390665
0.9875,0.399432
1,0.408426
1.0125,0.417652
1.025,0.427117
1.0375,0.436823
1.05,0.446778
1.0625,0.456985
1.075,0.46745
1.0875,0.478177
1.1,0.48917
1.1125,0.500434
1.125,0.511973
1.1375,0.523791
1.15,0.535892
1.1625,0.54828
1.175,0.560958
1.1875,0.573928
1.2,0.587195
1.2125,0.60076
1.225,0.614627
1.2375,0.628796
1.25,0.643271
1.2625,0.65805
1.275,0.673137
1.2875,0.68853
1.3,0.70423
1.3125,0.720237
1.325,0.736548
1.3375,0.753163
1.35,0.77008
1.3625,0.787296
1.375,0.804809
1.3875,0.822615
1.4,0.84071
1.4125,0.859092
1.425,0.877755
1.4375,0.896696
1.45,0.91591
1.4625,0.935388
1.475,0.955112
1.4875,0.975031
1.5,0.994759
1.5125,1.01555
1.525,1.03612
1.5375,1.05695
1.55,1.07798
1.5625,1.09921
1.575,1.12062
1.5875,1.1422
1.6,1.16394
1.6125,1.18583
1.625,1.20787
1.6375,1.23003
1.65,1.25232
1.6625,1.27472
1.675,1.29722
1.6875,1.31981
1.7,1.34248
1.7125,1.36523
1.725,1.38804
1.7375,1.41089
1.75,1.4338
1.7625,1.45673
1.775,1.4797
1.7875,1.50268
1.8,1.52567
1.8125,1.54866
1.825,1.57165
1.8375,1.59462
1.85,1.61757
1.8625,1.6405
1.875,1.6634
1.8875,1.68625
1.9,1.70907
1.9125,1.73183
1.925,1.75454
1.9375,1.77719
1.95,1.79977
1.9625,1.82229
1.975,1.84474
1.9875,1.86711
2,1.88941
2.0125,1.91162
2.025,1.93375
2.0375,1.95579
2.05,1.97774
2.0625,1.9996
2.075,2.02136
2.0875,2.04303
2.1,2.0646
2.1125,2.08608
2.125,2.10745
2.1375,2.12873
2.15,2.1499
2.1625,2.17097
2.175,2.19193
2.1875,2.21279
2.2,2.23355
2.2125,2.2542
2.225,2.27475
2.2375,2.29519
2.25,2.31553
2.2625,2.33576
2.275,2.35589
2.2875,2.37591
2.3,2.39583
2.3125,2.41564
2.325,2.43535
2.3375,2.45495
2.35,2.47446
2.3625,2.49386
2.375,2.51315
2.3875,2.53235
2.4,2.55145
2.4125,2.57044
2.425,2.58934
2.4375,2.60813
2.45,2.62683
2.4625,2.64543
2.475,2.66393
2.4875,2.68234
2.5,2.70065
2.5125,2.71887
2.525,2.737
2.5375,2.75503
2.55,2.77297
2.5625,2.79081
2.575,2.80857
2.5875,2.82624
2.6,2.84382
2.6125,2.86131
2.625,2.87871
2.6375,2.89603
2.65,2.91326
2.6625,2.9304
2.675,2.94747
2.6875,2.96445
2.7,2.98134
2.7125,2.99816
2.725,3.01489
2.7375,3.03155
2.75,3.04812
2.7625,3.06462
2.775,3.08104
2.7875,3.09738
2.8,3.11364
2.8125,3.12983
2.825,3.14595
2.8375,3.16199
2.85,3.17796
2.8625,3.19386
2.875,3.20968
2.8875,3.22543
2.9,3.24112
2.9125,3.25673
2.925,3.27228
2.9375,3.28775
2.95,3.30317
2.9625,3.3185
2.975,3.33382
2.9875,3.34895
3,3.36426
