iteration,value
2,1.72016
3,1.70618
4,1.69299
5,1.68049
6,1.6686
7,1.65719
8,1.64616
9,1.63537
10,1.62471
11,1.61407
12,1.60336
13,1.59251
14,1.58146
15,1.57015
16,1.55857
17,1.54668
18,1.53448
19,1.52198
20,1.50919
21,1.49612
22,1.48279
23,1.46925
24,1.4555
25,1.44161
26,1.4277
27,1.41381
28,1.39995
29,1.38615
30,1.37245
31,1.35885
32,1.34538
33,1.33205
34,1.31888
35,1.30588
36,1.29308
37,1.28047
38,1.26808
39,1.25593
40,1.24403
41,1.2324
42,1.22106
43,1.21004
44,1.19935
45,1.18903
46,1.17912
47,1.16964
48,1.16065
49,1.15218
50,1.1443
51,1.13706
52,1.13053
53,1.12477
54,1.11986
55,1.11589
56,1.11293
57,1.11107
58,1.11038
59,1.11093
60,1.11275
61,1.11586
62,1.12022
63,1.12573
64,1.13221
65,1.13943
66,1.14705
67,1.15466
68,1.1618
69,1.16798
70,1.17276
71,1.17571
72,1.17656
73,1.17513
74,1.17138
75,1.16542
76,1.15747
77,1.14782
78,1.13682
79,1.12486
80,1.11228
81,1.09945
82,1.08667
83,1.0742
84,1.06227
85,1.05106
86,1.04072
87,1.0314
88,1.02317
89,1.01608
90,1.01013
91,1.00531
92,1.00159
93,0.998946
94,0.997304
95,0.996597
96,0.996729
97,0.997587
98,0.999037
99,1.00093
100,1.0031
101,1.00538
102,1.00758
103,1.00953
104,1.01108
105,1.01206
106,1.01237
107,1.01192
108,1.01065
109,1.00854
110,1.0056
111,1.00186
112,0.99738
113,0.992238
114,0.986527
115,0.980354
116,0.973831
117,0.96707
118,0.960183
119,0.953275
120,0.946446
121,0.939786
122,0.933372
123,0.927276
124,0.921556
125,0.916262
126,0.911434
127,0.907101
128,0.903287
129,0.900005
130,0.897261
131,0.895051
132,0.893365
133,0.892185
134,0.891484
135,0.891229
136,0.891378
137,0.891884
138,0.892693
139,0.893746
140,0.89498
141,0.89633
142,0.897727
143,0.899104
144,0.900396
145,0.90154
146,0.902478
147,0.90316
148,0.903543
149,0.903593
150,0.903287
151,0.902614
152,0.901574
153,0.900176
154,0.898442
155,0.896402
156,0.894096
157,0.891568
158,0.888869
159,0.886056
160,0.883184
161,0.880312
162,0.877498
163,0.8748
164,0.872272
165,0.869967
166,0.867936
167,0.866224
168,0.864875
169,0.863926
170,0.863413
171,0.863364
172,0.863805
173,0.864755
174,0.866225
175,0.868222
176,0.870744
177,0.873782
178,0.877316
179,0.881319
180,0.885752
181,0.890568
182,0.895711
183,0.901114
184,0.906705
185,0.912408
186,0.918141
187,0.923828
188,0.929392
189,0.934767
190,0.939897
191,0.944741
192,0.949275
193,0.953492
194,0.957406
195,0.961048
196,0.964466
197,0.967724
198,0.970895
199,0.974059
200,0.977299
201,0.980692
202,0.98431
203,0.988208
204,0.992423
205,0.996968
206,1.00183
207,1.00697
208,1.01232
209,1.01777
210,1.02323
211,1.02854
212,1.03357
213,1.0382
214,1.04231
215,1.0458
216,1.04862
217,1.05076
218,1.05222
219,1.05307
220,1.05338
221,1.05325
222,1.0528
223,1.05214
224,1.05139
225,1.05067
226,1.05005
227,1.04962
228,1.04942
229,1.0495
230,1.04985
231,1.05045
232,1.05127
233,1.05225
234,1.05332
235,1.0544
236,1.05541
237,1.05628
238,1.05693
239,1.05731
240,1.05738
241,1.0571
242,1.05648
243,1.05552
244,1.05426
245,1.05272
246,1.05096
247,1.04905
248,1.04704
249,1.045
250,1.04299
251,1.04106
252,1.03926
253,1.03764
254,1.03622
255,1.03502
256,1.03403
257,1.03327
258,1.03272
259,1.03233
260,1.03209
261,1.03196
262,1.03187
263,1.0318
264,1.03168
265,1.03149
266,1.03116
267,1.03068
268,1.03002
269,1.02916
270,1.02809
271,1.02683
272,1.02538
273,1.02376
274,1.02201
275,1.02015
276,1.01822
277,1.01626
278,1.01431
279,1.01241
280,1.01058
281,1.00886
282,1.00729
283,1.00587
284,1.00463
285,1.00358
286,1.00271
287,1.00203
288,1.00153
289,1.00118
290,1.00097
291,1.00087
292,1.00085
293,1.00088
294,1.00092
295,1.00094
296,1.00092
297,1.00082
298,1.00062
299,1.00029
300,0.999837
301,0.999241
302,0.998503
303,0.997628
304,0.996628
305,0.995519
306,0.994319
307,0.993055
308,0.991751
309,0.990435
310,0.989137
311,0.987883
312,0.9867
313,0.985613
314,0.984643
315,0.983808
316,0.98312
317,0.982591
318,0.982222
319,0.982014
320,0.981962
321,0.982053
322,0.982274
323,0.982605
324,0.983025
325,0.983508
326,0.984028
327,0.98456
