iteration,value
2,0.348842
3,0.354017
4,0.36027
5,0.367541
6,0.375753
7,0.384825
8,0.394663
9,0.405182
10,0.416294
11,0.427908
12,0.439932
13,0.452272
14,0.464838
15,0.477537
16,0.490285
17,0.502998
18,0.515598
19,0.528011
20,0.54017
21,0.552012
22,0.56348
23,0.57452
24,0.585087
25,0.595123
26,0.604527
27,0.613285
28,0.62139
29,0.628835
30,0.635617
31,0.641744
32,0.647225
33,0.652074
34,0.656303
35,0.659931
36,0.662981
37,0.665481
38,0.667457
39,0.668943
40,0.669975
41,0.670596
42,0.670848
43,0.670783
44,0.670455
45,0.669924
46,0.669255
47,0.66852
48,0.667797
49,0.667173
50,0.66674
51,0.666604
52,0.666876
53,0.667681
54,0.669155
55,0.671447
56,0.674719
57,0.679142
58,0.684894
59,0.692158
60,0.701118
61,0.711939
62,0.724755
63,0.739646
64,0.756611
65,0.775533
66,0.796155
67,0.818054
68,0.840637
69,0.863158
70,0.884765
71,0.904572
72,0.921752
73,0.935624
74,0.945727
75,0.951859
76,0.954076
77,0.952659
78,0.948059
79,0.940828
80,0.93156
81,0.920839
82,0.909205
83,0.897134
84,0.885028
85,0.873223
86,0.861988
87,0.851587
88,0.842187
89,0.833894
90,0.826783
91,0.820893
92,0.816252
93,0.812863
94,0.810704
95,0.809734
96,0.809887
97,0.811066
98,0.813143
99,0.815962
100,0.819333
101,0.823037
102,0.826839
103,0.83048
104,0.83371
105,0.836283
106,0.837973
107,0.838601
108,0.838027
109,0.836162
110,0.83296
111,0.828427
112,0.82261
113,0.815597
114,0.807506
115,0.798479
116,0.78867
117,0.778241
118,0.767352
119,0.756158
120,0.744803
121,0.733415
122,0.722112
123,0.710992
124,0.700143
125,0.689636
126,0.67953
127,0.669873
128,0.660701
129,0.652041
130,0.64391
131,0.636318
132,0.629264
133,0.62274
134,0.616731
135,0.611211
136,0.606151
137,0.60151
138,0.597242
139,0.593296
140,0.589614
141,0.586134
142,0.582791
143,0.579516
144,0.576245
145,0.57291
146,0.56945
147,0.565808
148,0.561935
149,0.557789
150,0.55334
151,0.548569
152,0.543467
153,0.538037
154,0.532293
155,0.52626
156,0.519969
157,0.51346
158,0.506777
159,0.49997
160,0.493087
161,0.486182
162,0.479303
163,0.472501
164,0.465822
165,0.459311
166,0.453008
167,0.446953
168,0.441179
169,0.435719
170,0.4306
171,0.425848
172,0.421485
173,0.417528
174,0.413992
175,0.410889
176,0.408226
177,0.406004
178,0.404222
179,0.40287
180,0.401937
181,0.401402
182,0.401238
183,0.401414
184,0.401891
185,0.402627
186,0.403572
187,0.404678
188,0.405894
189,0.407171
190,0.408466
191,0.409742
192,0.410971
193,0.412136
194,0.413236
195,0.414279
196,0.41529
197,0.416304
198,0.417367
199,0.418533
200,0.419864
201,0.42142
202,0.423263
203,0.425448
204,0.428021
205,0.431017
206,0.434453
207,0.438326
208,0.442611
209,0.447259
210,0.452201
211,0.457345
212,0.462583
213,0.467799
214,0.472879
215,0.47771
216,0.482202
217,0.486295
218,0.489955
219,0.493181
220,0.495998
221,0.498456
222,0.500624
223,0.502586
224,0.504431
225,0.506248
226,0.50812
227,0.510121
228,0.512312
229,0.514735
230,0.517411
231,0.520345
232,0.523519
233,0.526898
234,0.530432
235,0.534058
236,0.537703
237,0.541293
238,0.544751
239,0.548007
240,0.551001
241,0.553685
242,0.556029
243,0.558019
244,0.559657
245,0.560963
246,0.561969
247,0.56272
248,0.563268
249,0.563669
250,0.563983
251,0.564267
252,0.564572
253,0.564945
254,0.565425
255,0.566041
256,0.566812
257,0.567747
258,0.568843
259,0.570087
260,0.571458
261,0.572922
262,0.574442
263,0.575973
264,0.577468
265,0.578881
266,0.580164
267,0.581277
268,0.582185
269,0.582861
270,0.583287
271,0.583456
272,0.583368
273,0.583036
274,0.582478
275,0.581721
276,0.580796
277,0.579738
278,0.578587
279,0.577379
280,0.576153
281,0.574945
282,0.573788
283,0.572709
284,0.571733
285,0.570878
286,0.570155
287,0.569571
288,0.569124
289,0.568808
290,0.56861
291,0.56851
292,0.568487
293,0.568512
294,0.568557
295,0.568589
296,0.568578
297,0.568493
298,0.568307
299,0.567997
300,0.567543
301,0.566932
302,0.566155
303,0.565211
304,0.564104
305,0.562844
306,0.561446
307,0.559929
308,0.558316
309,0.556632
310,0.554904
311,0.553159
312,0.551425
313,0.549728
314,0.548093
315,0.546541
316,0.54509
317,0.543755
318,0.542548
319,0.541473
320,0.540534
321,0.539728
322,0.539046
323,0.538478
324,0.538009
325,0.53762
326,0.537289
327,0.536996
328,0.536715
329,0.536424
330,0.5361
331,0.535722
332,0.535275
333,0.534743
334,0.534116
335,0.53339
336,0.532563
337,0.531639
338,0.530626
339,0.529536
340,0.528385
