iteration,value
1,0.6529
2,0.656435
3,0.660563
4,0.665242
5,0.670418
6,0.676031
7,0.682017
8,0.688307
9,0.694839
10,0.701555
11,0.708397
12,0.715309
13,0.722241
14,0.729143
15,0.735974
16,0.742694
17,0.749269
18,0.755671
19,0.761875
20,0.767858
21,0.773604
22,0.779098
23,0.784328
24,0.789285
25,0.793956
26,0.798308
27,0.802346
28,0.806077
29,0.809508
30,0.812645
31,0.815499
32,0.818079
33,0.820397
34,0.822461
35,0.824282
36,0.825874
37,0.827248
38,0.828418
39,0.829397
40,0.830203
41,0.83085
42,0.831358
43,0.831745
44,0.832034
45,0.832248
46,0.832412
47,0.832556
48,0.832709
49,0.832906
50,0.833185
51,0.833586
52,0.834154
53,0.834939
54,0.835995
55,0.837378
56,0.839153
57,0.84138
58,0.844125
59,0.847451
60,0.851415
61,0.856065
62,0.861433
63,0.867521
64,0.8743
65,0.881697
66,0.889589
67,0.897799
68,0.906104
69,0.91424
70,0.921927
71,0.928891
72,0.934888
73,0.939732
74,0.943309
75,0.945581
76,0.946588
77,0.946433
78,0.945262
79,0.943251
80,0.940585
81,0.937446
82,0.934003
83,0.930408
84,0.926792
85,0.923265
86,0.919919
87,0.916847
88,0.914108
89,0.911744
90,0.909785
91,0.908248
92,0.907148
93,0.906488
94,0.906262
95,0.906457
96,0.907047
97,0.907998
98,0.909261
99,0.910779
100,0.912482
101,0.914289
102,0.916117
103,0.917874
104,0.919472
105,0.920826
106,0.921858
107,0.922506
108,0.922725
109,0.922482
110,0.921762
111,0.920565
112,0.918903
113,0.916804
114,0.914304
115,0.911447
116,0.908283
117,0.904866
118,0.901248
119,0.897484
120,0.893622
121,0.889711
122,0.885793
123,0.881907
124,0.878087
125,0.874364
126,0.870764
127,0.867309
128,0.864018
129,0.860906
130,0.857983
131,0.855258
132,0.852735
133,0.850413
134,0.848291
135,0.846359
136,0.844609
137,0.843024
138,0.841587
139,0.840276
140,0.839068
141,0.837935
142,0.836848
143,0.835779
144,0.834697
145,0.833571
146,0.832373
147,0.831077
148,0.829658
149,0.828096
150,0.826376
151,0.824485
152,0.822418
153,0.820173
154,0.817755
155,0.815173
156,0.812438
157,0.809568
158,0.806583
159,0.803505
160,0.800356
161,0.797163
162,0.793951
163,0.790745
164,0.78757
165,0.784452
166,0.781414
167,0.77848
168,0.775672
169,0.773009
170,0.770513
171,0.768199
172,0.766086
173,0.764186
174,0.762513
175,0.761076
176,0.759883
177,0.758937
178,0.75824
179,0.757788
180,0.757576
181,0.75759
182,0.757817
183,0.758237
184,0.758826
185,0.759557
186,0.760402
187,0.76133
188,0.76231
189,0.763313
190,0.764313
191,0.765288
192,0.766223
193,0.767108
194,0.767942
195,0.768732
196,0.769494
197,0.770248
198,0.771023
199,0.771852
200,0.772769
201,0.773811
202,0.775012
203,0.776403
204,0.778009
205,0.779846
206,0.781919
207,0.784222
208,0.786736
209,0.789428
210,0.792253
211,0.795157
212,0.798076
213,0.800946
214,0.803704
215,0.806293
216,0.808669
217,0.810803
218,0.812685
219,0.814319
220,0.815724
221,0.816931
222,0.817982
223,0.818922
224,0.8198
225,0.820665
226,0.82156
227,0.822524
228,0.823586
229,0.824766
230,0.826075
231,0.827512
232,0.829064
233,0.830712
234,0.832428
235,0.834179
236,0.835928
237,0.837636
238,0.839267
239,0.840787
240,0.842168
241,0.843391
242,0.844441
243,0.845315
244,0.846017
245,0.846557
246,0.846955
247,0.847232
248,0.847415
249,0.847533
250,0.847613
251,0.847684
252,0.847771
253,0.847895
254,0.848075
255,0.848324
256,0.84865
257,0.849057
258,0.849541
259,0.850097
260,0.850712
261,0.851369
262,0.852051
263,0.852736
264,0.8534
265,0.854023
266,0.854582
267,0.855058
268,0.855437
269,0.855705
270,0.855856
271,0.855887
272,0.8558
273,0.855599
274,0.855296
275,0.854902
276,0.854433
277,0.853905
278,0.853337
279,0.852746
280,0.852151
281,0.851568
282,0.851011
283,0.850496
284,0.850032
285,0.849627
286,0.849288
287,0.849016
288,0.84881
289,0.848668
290,0.848581
291,0.848542
292,0.848537
293,0.848555
294,0.848581
295,0.8486
296,0.848596
297,0.848556
298,0.848467
299,0.848318
300,0.848099
301,0.847806
302,0.847433
303,0.846981
304,0.846452
305,0.845851
306,0.845184
307,0.844462
308,0.843695
309,0.842895
310,0.842076
311,0.84125
312,0.840431
313,0.839632
314,0.838863
315,0.838137
316,0.837461
317,0.836843
318,0.836288
319,0.835799
320,0.835377
321,0.835019
322,0.834722
323,0.834481
324,0.834288
325,0.834132
326,0.834004
327,0.833893
328,0.833785
329,0.833671
330,0.833539
331,0.833379
332,0.833183
333,0.832943
334,0.832656
335,0.832318
336,0.83193
337,0.831493
338,0.831012
339,0.830493
340,0.829944
341,0.829374
342,0.828793
343,0.828212
344,0.827643
345,0.827096
346,0.826581
347,0.826109
348,0.825688
349,0.825323
350,0.825022
351,0.824786
352,0.824617
353,0.824514
354,0.824473
355,0.824491
356,0.824559
357,0.82467
358,0.824813
359,0.824979
360,0.825156
361,0.825334
362,0.825502
363,0.825651
364,0.825772
365,0.82586
366,0.82591
367,0.82592
368,0.825891
369,0.825823
370,0.825721
371,0.825591
372,0.825441
373,0.825279
374,0.825114
375,0.824957
376,0.824816
377,0.824701
378,0.824621
379,0.824584
380,0.824594
381,0.824656
382,0.824772
383,0.824943
384,0.825167
385,0.825441
386,0.825757
387,0.82611
388,0.826491
389,0.82689
390,0.827298
391,0.827703
392,0.828096
393,0.828469
394,0.828813
395,0.829123
396,0.829393
397,0.829622
398,0.829809
399,0.829955
400,0.830064
401,0.830141
402,0.830193
403,0.830226
404,0.83025
405,0.830273
406,0.830304
407,0.83035
408,0.830418
409,0.830516
410,0.830647
411,0.830816
412,0.831023
413,0.831268
414,0.83155
415,0.831866
416,0.832209
417,0.832573
418,0.832951
419,0.833335
420,0.833717
421,0.834088
422,0.83444
423,0.834766
424,0.835061
425,0.835319
426,0.835538
427,0.835717
428,0.835856
429,0.835956
430,0.836022
431,0.836058
432,0.83607
433,0.836065
434,0.836049
435,0.83603
436,0.836014
437,0.83601
438,0.836021
439,0.836054
440,0.836112
441,0.836198
442,0.836312
443,0.836455
444,0.836625
445,0.836819
446,0.837032
447,0.837261
448,0.837497
449,0.837736
450,0.837971
451,0.838194
452,0.838401
453,0.838585
454,0.838742
455,0.838868
456,0.838961
457,0.83902
458,0.839046
459,0.839039
460,0.839003
461,0.838942
462,0.838859
463,0.838761
464,0.838653
465,0.83854
466,0.83843
467,0.838327
468,0.838236
469,0.838161
470,0.838107
471,0.838075
472,0.838067
473,0.838084
474,0.838124
475,0.838186
476,0.838266
477,0.838361
478,0.838467
479,0.838579
480,0.838691
481,0.838799
482,0.838896
483,0.83898
484,0.839045
485,0.839088
486,0.839106
487,0.8391
488,0.839067
489,0.839008
490,0.838926
491,0.838822
492,0.838701
493,0.838565
494,0.83842
495,0.838269
496,0.838119
497,0.837973
498,0.837836
499,0.837712
500,0.837604
501,0.837515
502,0.837448
503,0.837402
504,0.837378
505,0.837376
506,0.837393
507,0.837427
508,0.837474
509,0.837533
510,0.837597
511,0.837663
512,0.837727
513,0.837784
514,0.837831
515,0.837865
516,0.837882
517,0.837881
518,0.837861
519,0.837822
520,0.837763
521,0.837687
522,0.837595
523,0.83749
524,0.837376
525,0.837256
526,0.837134
527,0.837014
528,0.836899
529,0.836794
530,0.836702
531,0.836625
532,0.836565
533,0.836524
534,0.836503
535,0.836501
536,0.836518
537,0.836551
538,0.8366
539,0.836661
540,0.83673
541,0.836806
542,0.836883
543,0.836958
544,0.837028
545,0.83709
546,0.837141
547,0.837179
548,0.837202
549,0.837209
550,0.837201
551,0.837177
552,0.83714
553,0.83709
554,0.837031
555,0.836965
556,0.836894
557,0.836823
558,0.836754
559,0.836691
560,0.836637
561,0.836594
562,0.836564
563,0.836548
564,0.836549
565,0.836565
566,0.836597
567,0.836644
568,0.836705
569,0.836777
570,0.836857
571,0.836944
572,0.837034
573,0.837123
574,0.83721
575,0.837291
576,0.837364
577,0.837426
578,0.837476
579,0.837513
580,0.837536
581,0.837545
582,0.837541
583,0.837526
584,0.8375
585,0.837467
586,0.837428
587,0.837386
588,0.837343
589,0.837304
590,0.837269
591,0.837241
592,0.837223
593,0.837215
594,0.837219
595,0.837236
596,0.837266
597,0.837307
598,0.83736
599,0.837422
600,0.837492
601,0.837567
602,0.837646
603,0.837725
604,0.837802
605,0.837875
606,0.837942
607,0.838
608,0.838048
609,0.838084
610,0.838109
611,0.838122
612,0.838122
613,0.838112
614,0.838092
615,0.838064
616,0.838029
617,0.83799
618,0.83795
619,0.837909
620,0.837871
621,0.837837
622,0.83781
623,0.837791
624,0.83778
625,0.837779
626,0.837789
627,0.837808
628,0.837836
629,0.837873
630,0.837917
631,0.837966
632,0.838019
633,0.838073
634,0.838126
635,0.838177
636,0.838223
637,0.838263
638,0.838295
639,0.838318
640,0.838331
641,0.838335
642,0.838328
643,0.838311
644,0.838286
645,0.838253
646,0.838213
647,0.838169
648,0.838123
649,0.838075
650,0.838028
651,0.837984
652,0.837945
653,0.837911
654,0.837884
655,0.837865
656,0.837854
657,0.837852
658,0.837858
659,0.837872
660,0.837892
661,0.837918
662,0.837948
663,0.83798
664,0.838013
665,0.838046
666,0.838075
667,0.838101
668,0.838121
669,0.838135
670,0.838141
671,0.838139
672,0.838129
673,0.838111
674,0.838086
675,0.838054
676,0.838016
677,0.837973
678,0.837928
679,0.837881
680,0.837834
681,0.837789
682,0.837746
683,0.837708
684,0.837676
685,0.83765
686,0.837631
687,0.837619
688,0.837615
689,0.837617
690,0.837626
691,0.837641
692,0.83766
693,0.837682
694,0.837707
695,0.837732
696,0.837756
697,0.837777
698,0.837796
699,0.837809
700,0.837818
701,0.83782
702,0.837816
703,0.837806
704,0.837789
705,0.837766
706,0.837739
707,0.837707
708,0.837672
709,0.837635
710,0.837597
711,0.837561
712,0.837526
713,0.837494
714,0.837466
715,0.837444
716,0.837427
717,0.837416
718,0.837412
719,0.837413
720,0.837421
721,0.837434
722,0.837451
723,0.837472
724,0.837495
725,0.83752
726,0.837545
727,0.837569
728,0.837591
729,0.83761
730,0.837625
731,0.837636
732,0.837641
733,0.837641
734,0.837636
735,0.837626
736,0.837611
737,0.837593
738,0.837571
739,0.837547
740,0.837521
741,0.837496
742,0.837471
743,0.837449
744,0.837429
745,0.837413
746,0.837401
747,0.837394
748,0.837392
749,0.837396
750,0.837404
751,0.837417
752,0.837435
753,0.837455
754,0.837479
755,0.837504
756,0.83753
757,0.837555
758,0.83758
759,0.837602
760,0.837622
761,0.837638
762,0.837649
763,0.837657
764,0.83766
765,0.837658
766,0.837653
767,0.837643
768,0.837631
769,0.837615
770,0.837599
771,0.837581
772,0.837563
773,0.837547
774,0.837532
775,0.83752
776,0.837511
777,0.837505
778,0.837504
779,0.837506
780,0.837513
781,0.837524
782,0.837538
783,0.837556
784,0.837576
785,0.837598
786,0.837621
787,0.837644
788,0.837666
789,0.837687
790,0.837706
791,0.837722
792,0.837735
793,0.837745
794,0.83775
795,0.837752
796,0.83775
797,0.837745
798,0.837736
799,0.837725
800,0.837712
