iteration,value
1,0.740353
2,0.74063
3,0.743175
4,0.747811
5,0.754344
6,0.762556
7,0.772216
8,0.783081
9,0.79492
10,0.807503
11,0.820605
12,0.834008
13,0.847505
14,0.8609
15,0.874014
16,0.886685
17,0.898768
18,0.910137
19,0.920685
20,0.930323
21,0.938977
22,0.946593
23,0.953127
24,0.958552
25,0.962846
26,0.965981
27,0.967993
28,0.96892
29,0.968805
30,0.967699
31,0.965654
32,0.962725
33,0.958969
34,0.954445
35,0.949215
36,0.943341
37,0.936887
38,0.929922
39,0.922517
40,0.914743
41,0.906675
42,0.898396
43,0.889991
44,0.881546
45,0.873157
46,0.864926
47,0.856961
48,0.849373
49,0.842291
50,0.835848
51,0.830188
52,0.825473
53,0.821874
54,0.819578
55,0.818789
56,0.819729
57,0.822631
58,0.827736
59,0.835285
60,0.845511
61,0.858617
62,0.874748
63,0.893957
64,0.916159
65,0.941088
66,0.968248
67,0.99689
68,1.02601
69,1.05438
70,1.08065
71,1.10347
72,1.12163
73,1.13418
74,1.14061
75,1.14079
76,1.13504
77,1.124
78,1.10854
79,1.08967
80,1.06838
81,1.04565
82,1.02231
83,0.99909
84,0.976564
85,0.955191
86,0.935319
87,0.91729
88,0.90128
89,0.887367
90,0.875589
91,0.865933
92,0.858375
93,0.852861
94,0.849303
95,0.847596
96,0.847591
97,0.849111
98,0.851931
99,0.855791
100,0.860387
101,0.865382
102,0.870414
103,0.875102
104,0.879082
105,0.882006
106,0.883563
107,0.883518
108,0.881702
109,0.87802
110,0.872449
111,0.865036
112,0.855894
113,0.845188
114,0.833124
115,0.819938
116,0.805876
117,0.791188
118,0.776116
119,0.760883
120,0.745694
121,0.730726
122,0.716132
123,0.702041
124,0.688557
125,0.675762
126,0.663718
127,0.652471
128,0.642051
129,0.632473
130,0.623742
131,0.615848
132,0.608772
133,0.602486
134,0.596948
135,0.592111
136,0.587916
137,0.584294
138,0.58117
139,0.578462
140,0.57608
141,0.573931
142,0.571917
143,0.569941
144,0.567906
145,0.565718
146,0.563292
147,0.560549
148,0.557423
149,0.553863
150,0.549831
151,0.545309
152,0.540292
153,0.534794
154,0.528846
155,0.52249
156,0.515782
157,0.508784
158,0.501569
159,0.494209
