iteration,value
1,0.5281
2,0.531418
3,0.535931
4,0.541563
5,0.548226
6,0.555822
7,0.564245
8,0.573382
9,0.58313
10,0.593387
11,0.604051
12,0.615023
13,0.626207
14,0.637512
15,0.648851
16,0.660145
17,0.671318
18,0.682304
19,0.693042
20,0.703477
21,0.713559
22,0.723246
23,0.7325
24,0.741287
25,0.749566
26,0.75726
27,0.764365
28,0.770881
29,0.776811
30,0.782158
31,0.786934
32,0.791152
33,0.794828
34,0.797975
35,0.800613
36,0.802764
37,0.804451
38,0.805701
39,0.80654
40,0.807002
41,0.80712
42,0.806931
43,0.806477
44,0.805803
45,0.804958
46,0.803995
47,0.802973
48,0.801958
49,0.801018
50,0.800231
51,0.799682
52,0.799464
53,0.799676
54,0.800429
55,0.801844
56,0.804048
57,0.807176
58,0.811365
59,0.816754
60,0.823474
61,0.831641
62,0.841337
63,0.852598
64,0.86539
65,0.879591
66,0.89497
67,0.911178
68,0.92775
69,0.944127
70,0.95969
71,0.973819
72,0.985948
73,0.995628
74,1.00256
75,1.00664
76,1.00791
77,1.00658
78,1.00296
79,0.997431
80,0.990405
81,0.982285
82,0.97345
83,0.964237
84,0.954938
85,0.945799
86,0.937026
87,0.928821
88,0.921321
89,0.914614
90,0.908768
91,0.90382
92,0.8998
93,0.896717
94,0.894558
95,0.893296
96,0.892883
97,0.893246
98,0.89429
99,0.895895
100,0.897917
101,0.900194
102,0.902547
103,0.904786
104,0.906727
105,0.908188
106,0.909005
107,0.909046
108,0.90821
109,0.906426
110,0.903661
111,0.899911
112,0.895208
113,0.889609
114,0.883193
115,0.876056
116,0.868308
117,0.860062
118,0.851433
119,0.842532
120,0.833465
121,0.82433
122,0.815215
123,0.806199
124,0.79735
125,0.788728
126,0.780383
127,0.772357
128,0.764684
129,0.757389
130,0.750493
131,0.744007
132,0.737936
133,0.732279
134,0.727028
135,0.722165
136,0.717671
137,0.713514
138,0.709662
139,0.706073
140,0.702702
141,0.699499
142,0.696411
143,0.693385
144,0.690364
145,0.687296
146,0.684128
147,0.680813
148,0.677309
149,0.67358
150,0.669599
151,0.665348
152,0.660816
153,0.656004
154,0.65092
155,0.645581
156,0.64001
157,0.634239
158,0.628301
159,0.622236
160,0.616085
161,0.60989
162,0.603694
163,0.59754
164,0.591468
165,0.585518
166,0.579729
167,0.574135
168,0.568771
169,0.563666
170,0.558849
171,0.554346
172,0.550179
173,0.546369
174,0.542931
175,0.539879
176,0.537222
177,0.534964
178,0.533105
179,0.53164
180,0.530557
181,0.52984
182,0.529466
183,0.529405
184,0.529623
185,0.530081
186,0.530735
187,0.531541
188,0.532452
189,0.533426
190,0.534423
191,0.535409
192,0.536359
193,0.53726
194,0.538108
195,0.538912
196,0.539692
197,0.54048
198,0.541315
199,0.542246
200,0.543324
201,0.544603
202,0.546137
203,0.547973
204,0.55015
