iteration,value
1,0.528143
2,0.528103
3,0.528014
4,0.527886
5,0.527732
6,0.527561
7,0.527379
8,0.527192
9,0.527002
10,0.526809
11,0.526612
12,0.526409
13,0.526197
14,0.525974
15,0.525738
16,0.525489
17,0.525225
18,0.524949
19,0.524662
20,0.524363
21,0.524056
22,0.523742
23,0.523422
24,0.523097
25,0.522767
26,0.522433
27,0.522095
28,0.521753
29,0.521406
30,0.521056
31,0.5207
32,0.520341
33,0.519978
34,0.519612
35,0.519243
36,0.518872
37,0.5185
38,0.518126
39,0.517752
40,0.517377
41,0.517003
42,0.516629
43,0.516256
44,0.515883
45,0.515512
46,0.515141
47,0.514772
48,0.514404
49,0.514038
50,0.513674
51,0.513313
52,0.512954
53,0.512597
54,0.512244
55,0.511894
56,0.511547
57,0.511204
58,0.510865
59,0.510529
60,0.510198
61,0.50987
62,0.509547
63,0.509228
64,0.508914
65,0.508604
66,0.508299
67,0.507999
68,0.507703
69,0.507413
70,0.507127
71,0.506847
72,0.506572
73,0.506302
74,0.506038
75,0.505779
76,0.505526
77,0.505278
78,0.505035
79,0.504799
80,0.504568
81,0.504342
82,0.504123
83,0.503909
84,0.503701
85,0.503499
86,0.503302
87,0.503112
88,0.502927
89,0.502749
90,0.502576
91,0.502409
92,0.502248
93,0.502093
94,0.501944
95,0.501801
96,0.501664
97,0.501533
98,0.501408
99,0.501288
100,0.501175
101,0.501068
102,0.500966
103,0.50087
104,0.500781
105,0.500697
106,0.500619
107,0.500547
108,0.500481
109,0.500421
110,0.500366
111,0.500318
112,0.500275
113,0.500238
114,0.500207
115,0.500181
116,0.500162
117,0.500148
118,0.500139
119,0.500137
120,0.50014
121,0.500149
122,0.500163
123,0.500183
124,0.500209
125,0.50024
126,0.500277
127,0.500319
128,0.500367
129,0.50042
130,0.500479
131,0.500543
132,0.500613
133,0.500688
134,0.500768
135,0.500854
136,0.500945
137,0.501042
138,0.501144
139,0.501251
140,0.501363
141,0.501481
142,0.501604
143,0.501732
144,0.501865
145,0.502004
146,0.502148
147,0.502297
148,0.502451
149,0.50261
150,0.502774
151,0.502943
152,0.503118
153,0.503297
154,0.503482
155,0.503671
156,0.503866
157,0.504065
158,0.50427
159,0.504479
160,0.504693
161,0.504913
162,0.505137
163,0.505366
164,0.5056
165,0.505839
166,0.506082
167,0.506331
168,0.506584
169,0.506842
170,0.507105
171,0.507373
172,0.507645
173,0.507922
