iteration,value
0,1
0.0125,0.999551
0.025,0.999148
0.0375,0.998692
0.05,0.998255
0.0625,0.997788
0.075,0.997325
0.0875,0.996842
0.1,0.996354
0.1125,0.995851
0.125,0.995339
0.1375,0.994813
0.15,0.994277
0.1625,0.993727
0.175,0.993165
0.1875,0.99259
0.2,0.992001
0.2125,0.991399
0.225,0.990782
0.2375,0.99015
0.25,0.989503
0.2625,0.98884
0.275,0.98816
0.2875,0.987464
0.3,0.986751
0.3125,0.986019
0.325,0.985269
0.3375,0.9845
0.35,0.98371
0.3625,0.9829
0.375,0.982068
0.3875,0.981214
0.4,0.980336
0.4125,0.979434
0.425,0.978508
0.4375,0.977555
0.45,0.976575
0.4625,0.975567
0.475,0.974529
0.4875,0.973461
0.5,0.972361
0.5125,0.971228
0.525,0.97006
0.5375,0.968856
0.55,0.967614
0.5625,0.966333
0.575,0.965011
0.5875,0.963647
0.6,0.962237
0.6125,0.960781
0.625,0.959277
0.6375,0.957721
0.65,0.956112
0.6625,0.954448
0.675,0.952725
0.6875,0.950942
0.7,0.949096
0.7125,0.947183
0.725,0.945201
0.7375,0.943147
0.75,0.941017
0.7625,0.938808
0.775,0.936517
0.7875,0.934139
0.8,0.931672
0.8125,0.92911
0.825,0.926451
0.8375,0.923689
0.85,0.92082
0.8625,0.91784
0.875,0.914744
0.8875,0.911527
0.9,0.908184
0.9125,0.90471
0.925,0.9011
0.9375,0.897348
0.95,0.893449
0.9625,0.889396
0.975,0.885186
0.9875,0.88081
1,0.876265
1.0125,0.871544
1.025,0.86664
1.0375,0.861549
1.05,0.856264
1.0625,0.85078
1.075,0.845091
1.0875,0.839191
1.1,0.833076
1.1125,0.82674
1.125,0.820178
1.1375,0.813386
1.15,0.80636
1.1625,0.799097
1.175,0.791592
1.1875,0.783844
1.2,0.775851
1.2125,0.76761
1.225,0.759123
1.2375,0.750387
1.25,0.741406
1.2625,0.73218
1.275,0.722712
1.2875,0.713005
1.3,0.703065
1.3125,0.692897
1.325,0.682508
1.3375,0.671905
1.35,0.661097
1.3625,0.650094
1.375,0.638907
1.3875,0.627546
1.4,0.616024
1.4125,0.604355
1.425,0.592551
1.4375,0.580628
1.45,0.568601
1.4625,0.556489
1.475,0.544315
1.4875,0.532123
1.5,0.520159
1.5125,0.507673
1.525,0.495457
1.5375,0.483237
1.55,0.471055
1.5625,0.458929
1.575,0.446878
1.5875,0.434918
1.6,0.423064
1.6125,0.411332
1.625,0.399736
1.6375,0.388291
1.65,0.377007
1.6625,0.365898
1.675,0.354973
1.6875,0.344243
1.7,0.333717
1.7125,0.323402
1.725,0.313305
1.7375,0.303431
1.75,0.293786
1.7625,0.284374
1.775,0.275196
1.7875,0.266257
1.8,0.257555
1.8125,0.249094
1.825,0.240871
1.8375,0.232886
1.85,0.225138
1.8625,0.217625
1.875,0.210344
1.8875,0.203291
1.9,0.196464
1.9125,0.189859
1.925,0.183472
1.9375,0.177297
1.95,0.171331
1.9625,0.165569
1.975,0.160005
1.9875,0.154635
2,0.149453
2.0125,0.144454
2.025,0.139633
2.0375,0.134984
2.05,0.130503
2.0625,0.126183
2.075,0.12202
2.0875,0.118008
2.1,0.114143
2.1125,0.110419
2.125,0.106832
2.1375,0.103376
2.15,0.100047
2.1625,0.0968404
2.175,0.0937517
2.1875,0.0907764
2.2,0.0879104
2.2125,0.0851495
2.225,0.0824898
2.2375,0.0799275
2.25,0.0774587
2.2625,0.07508
2.275,0.0727878
2.2875,0.0705788
2.3,0.0684497
2.3125,0.0663975
2.325,0.0644191
2.3375,0.0625117
2.35,0.0606725
2.3625,0.0588988
2.375,0.0571881
2.3875,0.0555378
2.4,0.0539457
2.4125,0.0524093
2.425,0.0509266
2.4375,0.0494955
2.45,0.0481138
2.4625,0.0467798
2.475,0.0454914
2.4875,0.0442471
2.5,0.043045
2.5125,0.0418835
2.525,0.040761
2.5375,0.0396762
2.55,0.0386274
2.5625,0.0376133
2.575,0.0366327
2.5875,0.0356842
2.6,0.0347666
2.6125,0.0338788
2.625,0.0330196
2.6375,0.032188
2.65,0.0313829
2.6625,0.0306033
2.675,0.0298483
2.6875,0.0291171
2.7,0.0284086
2.7125,0.027722
2.725,0.0270567
2.7375,0.0264117
2.75,0.0257864
2.7625,0.0251801
2.775,0.024592
2.7875,0.0240216
2.8,0.0234682
2.8125,0.0229312
2.825,0.02241
2.8375,0.021904
2.85,0.0214128
2.8625,0.0209359
2.875,0.0204727
2.8875,0.0200228
2.9,0.0195856
2.9125,0.0191609
2.925,0.0187481
2.9375,0.0183469
2.95,0.0179567
2.9625,0.0175776
2.975,0.0172084
2.9875,0.0168503
3,0.0164999
