iteration,value
1,0.833071
2,0.833086
3,0.833051
4,0.832973
5,0.832861
6,0.832721
7,0.83256
8,0.832384
9,0.832197
10,0.832002
11,0.831802
12,0.831599
13,0.831394
14,0.831188
15,0.830982
16,0.830777
17,0.830574
18,0.830374
19,0.830177
20,0.829985
21,0.829797
22,0.829613
23,0.829432
24,0.829255
25,0.829079
26,0.828905
27,0.82873
28,0.828553
29,0.828373
30,0.82819
31,0.828002
32,0.827809
33,0.82761
34,0.827406
35,0.827196
36,0.826982
37,0.826763
38,0.82654
39,0.826314
40,0.826086
41,0.825857
42,0.825627
43,0.825397
44,0.825168
45,0.824941
46,0.824716
47,0.824493
48,0.824274
49,0.824059
50,0.823847
51,0.823639
52,0.823436
53,0.823236
54,0.82304
55,0.822848
56,0.822659
57,0.822473
58,0.822289
59,0.822108
60,0.821929
61,0.821751
62,0.821574
63,0.821399
64,0.821225
65,0.821051
66,0.820878
67,0.820706
68,0.820535
69,0.820365
70,0.820197
71,0.82003
72,0.819864
73,0.819701
74,0.81954
75,0.819382
76,0.819226
77,0.819074
78,0.818926
79,0.81878
80,0.818639
81,0.818501
82,0.818368
83,0.818238
84,0.818113
85,0.817991
86,0.817873
87,0.817759
88,0.817648
89,0.817541
90,0.817437
91,0.817337
92,0.817239
93,0.817144
94,0.817051
95,0.816961
96,0.816874
97,0.816788
98,0.816706
99,0.816625
100,0.816547
101,0.816471
102,0.816397
103,0.816326
104,0.816258
105,0.816192
106,0.816129
107,0.816069
108,0.816011
109,0.815957
110,0.815906
111,0.815858
112,0.815814
113,0.815772
114,0.815735
115,0.8157
116,0.815669
117,0.815641
118,0.815616
119,0.815595
120,0.815577
121,0.815561
122,0.815549
123,0.81554
124,0.815533
125,0.815529
126,0.815528
127,0.815529
128,0.815533
129,0.815539
130,0.815548
131,0.815559
132,0.815572
133,0.815588
134,0.815606
135,0.815627
136,0.81565
137,0.815676
138,0.815704
139,0.815734
140,0.815768
141,0.815803
142,0.815842
143,0.815883
144,0.815927
145,0.815974
146,0.816023
147,0.816075
148,0.81613
149,0.816188
150,0.816248
151,0.816311
152,0.816376
153,0.816444
154,0.816515
155,0.816588
156,0.816664
157,0.816742
158,0.816822
159,0.816905
160,0.81699
161,0.817077
162,0.817167
163,0.817258
164,0.817352
165,0.817448
166,0.817546
167,0.817647
168,0.81775
169,0.817854
170,0.817961
171,0.818071
172,0.818182
173,0.818296
174,0.818412
175,0.818531
176,0.818651
177,0.818774
178,0.8189
179,0.819027
180,0.819157
181,0.81929
182,0.819424
183,0.819561
184,0.8197
185,0.819841
186,0.819985
187,0.82013
188,0.820278
189,0.820428
190,0.82058
191,0.820734
192,0.82089
193,0.821049
194,0.821209
195,0.821371
196,0.821535
197,0.821702
198,0.82187
199,0.82204
200,0.822212
201,0.822387
202,0.822563
203,0.822741
204,0.822922
205,0.823104
206,0.823288
207,0.823475
208,0.823663
209,0.823853
210,0.824046
211,0.82424
212,0.824437
213,0.824635
214,0.824836
215,0.825038
216,0.825242
217,0.825449
218,0.825657
219,0.825867
220,0.826079
221,0.826293
222,0.826509
223,0.826727
224,0.826946
225,0.827167
226,0.82739
227,0.827614
228,0.827839
229,0.828066
230,0.828295
231,0.828525
232,0.828755
233,0.828987
234,0.82922
235,0.829453
236,0.829687
237,0.829921
238,0.830155
239,0.830389
240,0.830622
241,0.830854
242,0.831085
243,0.831314
244,0.831541
245,0.831765
246,0.831985
247,0.832202
248,0.832415
249,0.832623
250,0.832825
251,0.83302
252,0.833209
253,0.83339
254,0.833563
255,0.833727
256,0.833882
257,0.834027
258,0.834161
259,0.834284
260,0.834396
261,0.834496
262,0.834585
263,0.834661
264,0.834725
265,0.834778
266,0.834819
267,0.834848
268,0.834866
269,0.834875
270,0.834873
271,0.834862
272,0.834843
273,0.834816
274,0.834784
275,0.834746
276,0.834703
277,0.834658
278,0.83461
279,0.834562
280,0.834514
281,0.834467
282,0.834422
283,0.83438
284,0.834342
285,0.834309
286,0.83428
287,0.834258
288,0.834242
289,0.834231
290,0.834228
291,0.83423
292,0.834238
293,0.834253
294,0.834272
295,0.834296
296,0.834324
297,0.834356
298,0.83439
299,0.834425
300,0.834462
301,0.834498
302,0.834534
303,0.834569
304,0.834601
305,0.83463
306,0.834656
307,0.834679
308,0.834698
309,0.834713
310,0.834724
311,0.834731
312,0.834735
313,0.834735
314,0.834733
315,0.834729
316,0.834723
317,0.834716
318,0.834709
319,0.834702
320,0.834696
321,0.83469
322,0.834687
323,0.834685
324,0.834686
325,0.83469
326,0.834696
327,0.834705
328,0.834716
329,0.834729
330,0.834744
331,0.834762
332,0.83478
333,0.834799
334,0.834819
335,0.834839
336,0.834858
337,0.834877
338,0.834895
339,0.834912
340,0.834927
341,0.83494
342,0.834952
343,0.834962
344,0.834971
345,0.834978
346,0.834984
347,0.834989
348,0.834994
349,0.834998
350,0.835002
351,0.835006
352,0.83501
353,0.835015
354,0.835021
355,0.835028
356,0.835036
357,0.835045
358,0.835055
359,0.835067
360,0.835079
361,0.835091
362,0.835105
363,0.835119
364,0.835133
365,0.835147
366,0.835161
367,0.835175
368,0.835188
369,0.835201
370,0.835213
371,0.835224
372,0.835235
373,0.835245
374,0.835254
375,0.835263
376,0.835272
377,0.83528
378,0.835288
379,0.835295
380,0.835303
381,0.835311
382,0.83532
383,0.835328
384,0.835338
385,0.835347
386,0.835357
387,0.835368
388,0.835378
389,0.83539
390,0.835401
391,0.835413
392,0.835424
393,0.835436
394,0.835448
395,0.835459
396,0.835471
397,0.835482
398,0.835493
399,0.835503
400,0.835514
401,0.835524
402,0.835533
403,0.835543
404,0.835552
405,0.835561
406,0.83557
407,0.835579
408,0.835589
409,0.835598
410,0.835607
411,0.835617
412,0.835626
413,0.835636
414,0.835646
415,0.835656
416,0.835667
417,0.835677
418,0.835687
419,0.835698
420,0.835708
421,0.835719
422,0.835729
423,0.835739
424,0.835749
425,0.835759
426,0.835769
427,0.835778
428,0.835788
429,0.835797
430,0.835806
431,0.835815
432,0.835824
433,0.835832
434,0.835841
435,0.83585
436,0.835858
437,0.835867
438,0.835875
439,0.835884
440,0.835892
441,0.8359
442,0.835909
443,0.835917
444,0.835925
445,0.835933
446,0.835941
447,0.835949
448,0.835957
449,0.835965
450,0.835972
451,0.835979
452,0.835986
453,0.835993
454,0.836
455,0.836007
456,0.836013
457,0.836019
458,0.836025
459,0.836031
460,0.836037
461,0.836043
462,0.836049
463,0.836054
464,0.83606
465,0.836066
466,0.836071
467,0.836076
468,0.836082
469,0.836087
470,0.836092
471,0.836097
472,0.836102
473,0.836107
474,0.836112
475,0.836117
476,0.836122
477,0.836126
478,0.836131
479,0.836135
480,0.836139
481,0.836144
482,0.836148
483,0.836152
484,0.836156
485,0.836159
486,0.836163
487,0.836167
488,0.83617
489,0.836174
490,0.836177
491,0.83618
492,0.836183
493,0.836187
494,0.836189
495,0.836192
496,0.836195
497,0.836198
498,0.8362
499,0.836202
500,0.836205
501,0.836207
502,0.836209
503,0.836211
504,0.836212
505,0.836214
506,0.836216
507,0.836217
508,0.836218
509,0.83622
510,0.836221
511,0.836222
512,0.836223
513,0.836224
514,0.836224
515,0.836225
516,0.836226
517,0.836226
518,0.836227
519,0.836227
520,0.836227
521,0.836228
522,0.836228
523,0.836228
524,0.836228
525,0.836227
526,0.836227
527,0.836226
528,0.836226
529,0.836225
530,0.836224
531,0.836224
532,0.836223
533,0.836221
534,0.83622
535,0.836219
536,0.836217
537,0.836216
538,0.836214
539,0.836212
540,0.83621
541,0.836208
542,0.836206
543,0.836204
544,0.836202
545,0.836199
546,0.836197
547,0.836194
548,0.836191
549,0.836189
550,0.836186
551,0.836183
552,0.836179
553,0.836176
554,0.836173
555,0.83617
556,0.836166
557,0.836162
558,0.836159
559,0.836155
560,0.836151
561,0.836147
562,0.836143
563,0.836138
564,0.836134
565,0.83613
566,0.836125
567,0.83612
568,0.836115
569,0.836111
570,0.836106
571,0.8361
572,0.836095
573,0.83609
574,0.836084
575,0.836079
576,0.836073
577,0.836068
578,0.836062
579,0.836056
580,0.83605
581,0.836044
582,0.836038
583,0.836032
584,0.836026
585,0.83602
586,0.836013
587,0.836007
588,0.836001
589,0.835994
590,0.835988
591,0.835982
592,0.835975
593,0.835969
594,0.835963
595,0.835957
596,0.835951
597,0.835945
598,0.835939
599,0.835933
600,0.835927
601,0.835922
602,0.835917
603,0.835912
604,0.835908
605,0.835903
606,0.8359
607,0.835896
608,0.835893
609,0.835891
610,0.83589
611,0.835889
612,0.835888
613,0.835889
614,0.83589
615,0.835893
616,0.835896
617,0.835901
618,0.835907
619,0.835914
620,0.835923
621,0.835934
622,0.835946
623,0.83596
624,0.835975
625,0.835993
626,0.836014
627,0.836036
628,0.836062
629,0.836089
630,0.83612
631,0.836154
632,0.836191
633,0.836232
634,0.836276
635,0.836323
636,0.836375
637,0.836431
638,0.836491
639,0.836556
640,0.836625
641,0.8367
642,0.836779
643,0.836863
644,0.836953
645,0.837049
646,0.83715
647,0.837257
648,0.837369
649,0.837488
650,0.837613
651,0.837744
652,0.837881
653,0.838024
654,0.838174
655,0.838329
656,0.838491
657,0.838658
658,0.838831
659,0.83901
660,0.839194
661,0.839383
662,0.839577
663,0.839775
664,0.839978
665,0.840184
666,0.840393
667,0.840605
668,0.840819
669,0.841036
670,0.841253
671,0.841471
672,0.841689
673,0.841907
674,0.842123
675,0.842338
676,0.842551
677,0.84276
678,0.842967
679,0.843169
680,0.843368
681,0.843561
682,0.84375
683,0.843932
684,0.84411
685,0.844281
686,0.844445
687,0.844604
688,0.844756
689,0.844901
690,0.845041
691,0.845174
692,0.8453
693,0.845421
694,0.845537
695,0.845647
696,0.845752
697,0.845853
698,0.84595
699,0.846043
700,0.846132
701,0.846219
702,0.846304
703,0.846387
704,0.846469
705,0.84655
706,0.84663
707,0.846711
708,0.846792
709,0.846874
710,0.846957
711,0.847041
712,0.847127
713,0.847216
714,0.847306
715,0.847399
716,0.847494
717,0.847591
718,0.847691
719,0.847793
720,0.847898
721,0.848005
722,0.848114
723,0.848225
724,0.848337
725,0.848451
726,0.848567
727,0.848682
728,0.848799
729,0.848915
730,0.849032
731,0.849148
732,0.849263
733,0.849377
734,0.849489
735,0.8496
736,0.849708
737,0.849815
738,0.849918
739,0.850019
740,0.850117
741,0.850212
742,0.850303
743,0.850392
744,0.850477
745,0.850558
746,0.850637
747,0.850712
748,0.850784
749,0.850853
750,0.85092
751,0.850983
752,0.851045
753,0.851104
754,0.851162
755,0.851218
756,0.851272
757,0.851325
758,0.851378
759,0.85143
760,0.851481
761,0.851533
762,0.851584
763,0.851636
764,0.851688
765,0.851741
766,0.851795
767,0.851849
768,0.851905
769,0.851961
770,0.852018
771,0.852077
772,0.852136
773,0.852196
774,0.852257
775,0.852318
776,0.85238
777,0.852442
778,0.852504
779,0.852566
780,0.852628
781,0.85269
782,0.85275
783,0.85281
784,0.852869
785,0.852927
786,0.852984
787,0.853039
788,0.853092
789,0.853143
790,0.853193
791,0.85324
792,0.853285
793,0.853329
794,0.85337
795,0.853409
796,0.853446
797,0.853481
798,0.853515
799,0.853546
800,0.853576
801,0.853604
802,0.853631
803,0.853656
804,0.853681
805,0.853704
806,0.853727
807,0.853749
808,0.85377
809,0.853791
810,0.853812
811,0.853833
812,0.853854
813,0.853875
814,0.853896
815,0.853917
816,0.853939
817,0.853961
818,0.853983
819,0.854006
820,0.854028
821,0.854051
822,0.854074
823,0.854098
824,0.854121
825,0.854144
826,0.854167
827,0.854189
828,0.854211
829,0.854232
830,0.854253
831,0.854273
832,0.854292
833,0.85431
834,0.854327
835,0.854343
836,0.854358
837,0.854371
838,0.854383
839,0.854393
840,0.854402
841,0.85441
842,0.854416
843,0.854421
844,0.854425
845,0.854427
846,0.854429
847,0.854429
848,0.854428
849,0.854426
850,0.854423
851,0.854419
852,0.854414
853,0.854409
854,0.854404
855,0.854398
856,0.854391
857,0.854384
858,0.854377
859,0.85437
860,0.854363
861,0.854355
862,0.854348
863,0.85434
864,0.854333
865,0.854325
866,0.854317
867,0.85431
868,0.854302
869,0.854293
870,0.854285
871,0.854277
872,0.854268
873,0.854258
874,0.854248
875,0.854238
876,0.854227
877,0.854216
878,0.854203
879,0.85419
880,0.854176
881,0.854162
882,0.854146
883,0.854129
884,0.854112
885,0.854093
886,0.854074
887,0.854053
888,0.854032
889,0.854009
890,0.853986
891,0.853961
892,0.853936
893,0.85391
894,0.853883
895,0.853855
896,0.853827
897,0.853798
898,0.853769
899,0.853738
900,0.853708
901,0.853677
902,0.853646
903,0.853614
904,0.853582
905,0.85355
906,0.853517
907,0.853484
908,0.853452
909,0.853418
910,0.853385
911,0.853351
912,0.853318
913,0.853284
914,0.853249
915,0.853215
916,0.85318
917,0.853144
918,0.853109
919,0.853073
920,0.853036
921,0.852999
922,0.852961
923,0.852923
924,0.852884
925,0.852845
926,0.852805
927,0.852764
928,0.852723
929,0.85268
930,0.852637
931,0.852594
932,0.852549
933,0.852504
934,0.852458
935,0.852412
936,0.852365
937,0.852317
938,0.852268
939,0.852219
940,0.85217
941,0.852119
942,0.852069
943,0.852018
944,0.851966
945,0.851914
946,0.851861
947,0.851809
948,0.851756
949,0.851702
950,0.851649
951,0.851595
952,0.851541
953,0.851486
954,0.851431
955,0.851377
956,0.851321
957,0.851266
958,0.85121
959,0.851155
960,0.851098
961,0.851042
962,0.850985
963,0.850928
964,0.85087
965,0.850813
966,0.850754
967,0.850696
968,0.850637
969,0.850577
970,0.850517
971,0.850456
972,0.850396
973,0.850334
974,0.850272
975,0.85021
976,0.850147
977,0.850083
978,0.850019
979,0.849955
980,0.84989
981,0.849825
982,0.849759
983,0.849693
984,0.849626
985,0.849559
986,0.849492
987,0.849424
988,0.849356
989,0.849288
990,0.84922
991,0.849151
992,0.849082
993,0.849013
994,0.848943
995,0.848874
996,0.848804
997,0.848734
998,0.848664
999,0.848594
1000,0.848524
1001,0.848453
1002,0.848383
1003,0.848312
1004,0.848241
1005,0.84817
1006,0.848099
1007,0.848027
1008,0.847956
1009,0.847884
1010,0.847811
1011,0.847739
1012,0.847667
1013,0.847594
1014,0.847521
1015,0.847447
1016,0.847374
1017,0.8473
1018,0.847225
1019,0.847151
1020,0.847076
1021,0.847001
1022,0.846926
1023,0.846851
1024,0.846775
1025,0.846699
1026,0.846623
1027,0.846547
1028,0.84647
1029,0.846393
1030,0.846317
1031,0.84624
1032,0.846162
1033,0.846085
1034,0.846008
1035,0.845931
1036,0.845853
1037,0.845776
1038,0.845698
1039,0.84562
1040,0.845543
1041,0.845465
1042,0.845387
1043,0.84531
1044,0.845232
1045,0.845154
1046,0.845076
1047,0.844998
1048,0.84492
1049,0.844842
1050,0.844765
1051,0.844687
1052,0.844608
1053,0.84453
1054,0.844452
1055,0.844374
1056,0.844296
1057,0.844217
1058,0.844139
1059,0.84406
1060,0.843981
1061,0.843903
1062,0.843824
1063,0.843745
1064,0.843666
1065,0.843587
1066,0.843508
1067,0.843428
1068,0.843349
