iteration,value
0,1
0.0125,0.999853
0.025,0.999723
0.0375,0.999575
0.05,0.999432
0.0625,0.999282
0.075,0.999132
0.0875,0.998976
0.1,0.998818
0.1125,0.998654
0.125,0.998489
0.1375,0.99832
0.15,0.998147
0.1625,0.99797
0.175,0.997789
0.1875,0.997602
0.2,0.997411
0.2125,0.997218
0.225,0.997021
0.2375,0.996817
0.25,0.99661
0.2625,0.996398
0.275,0.996179
0.2875,0.995952
0.3,0.995721
0.3125,0.995486
0.325,0.995246
0.3375,0.994998
0.35,0.994746
0.3625,0.994489
0.375,0.994224
0.3875,0.993951
0.4,0.993668
0.4125,0.993379
0.425,0.993083
0.4375,0.992778
0.45,0.992463
0.4625,0.99214
0.475,0.991809
0.4875,0.991471
0.5,0.991124
0.5125,0.990766
0.525,0.990396
0.5375,0.990017
0.55,0.989627
0.5625,0.989228
0.575,0.988816
0.5875,0.988389
0.6,0.987946
0.6125,0.987489
0.625,0.987018
0.6375,0.986532
0.65,0.986031
0.6625,0.985512
0.675,0.984973
0.6875,0.984412
0.7,0.983831
0.7125,0.98323
0.725,0.982608
0.7375,0.981964
0.75,0.981297
0.7625,0.980604
0.775,0.979883
0.7875,0.979133
0.8,0.978352
0.8125,0.977541
0.825,0.976698
0.8375,0.975824
0.85,0.974916
0.8625,0.973973
0.875,0.972991
0.8875,0.971968
0.9,0.970903
0.9125,0.969792
0.925,0.968634
0.9375,0.967428
0.95,0.966173
0.9625,0.964866
0.975,0.963506
0.9875,0.96209
1,0.960616
1.0125,0.959081
1.025,0.957482
1.0375,0.955815
1.05,0.954079
1.0625,0.952269
1.075,0.950384
1.0875,0.94842
1.1,0.946375
1.1125,0.944246
1.125,0.942031
1.1375,0.939727
1.15,0.937332
1.1625,0.934843
1.175,0.932257
1.1875,0.929572
1.2,0.926784
1.2125,0.923891
1.225,0.920889
1.2375,0.917777
1.25,0.914552
1.2625,0.911212
1.275,0.907754
1.2875,0.904178
1.3,0.90048
1.3125,0.896661
1.325,0.892719
1.3375,0.888654
1.35,0.884465
1.3625,0.880151
1.375,0.875715
1.3875,0.871155
1.4,0.866472
1.4125,0.861668
1.425,0.856744
1.4375,0.851701
1.45,0.846542
1.4625,0.84127
1.475,0.835891
1.4875,0.830419
1.5,0.824963
1.5125,0.819178
1.525,0.813421
1.5375,0.807562
1.55,0.801616
1.5625,0.795591
1.575,0.789492
1.5875,0.783323
1.6,0.777091
1.6125,0.7708
1.625,0.764458
1.6375,0.758069
1.65,0.751639
1.6625,0.745175
1.675,0.738683
1.6875,0.732167
1.7,0.725634
1.7125,0.719089
1.725,0.712539
1.7375,0.705987
1.75,0.699441
1.7625,0.692904
1.775,0.686381
1.7875,0.679878
1.8,0.673399
1.8125,0.666947
1.825,0.660528
1.8375,0.654144
1.85,0.6478
1.8625,0.641499
1.875,0.635244
1.8875,0.629038
1.9,0.622883
1.9125,0.616782
1.925,0.610738
1.9375,0.604752
1.95,0.598826
1.9625,0.592963
1.975,0.587162
1.9875,0.581426
2,0.575756
2.0125,0.570152
2.025,0.564616
2.0375,0.559149
2.05,0.553749
2.0625,0.548419
2.075,0.543158
2.0875,0.537967
2.1,0.532845
2.1125,0.527792
2.125,0.522809
2.1375,0.517895
2.15,0.51305
2.1625,0.508273
2.175,0.503564
2.1875,0.498923
2.2,0.494349
2.2125,0.489841
2.225,0.485399
2.2375,0.481022
2.25,0.47671
2.2625,0.472461
2.275,0.468275
2.2875,0.464152
2.3,0.460089
2.3125,0.456087
2.325,0.452145
2.3375,0.448262
2.35,0.444437
2.3625,0.440669
2.375,0.436957
2.3875,0.433301
2.4,0.4297
2.4125,0.426152
2.425,0.422657
2.4375,0.419215
2.45,0.415823
2.4625,0.412482
2.475,0.40919
2.4875,0.405947
2.5,0.402752
2.5125,0.399604
2.525,0.396502
2.5375,0.393446
2.55,0.390434
2.5625,0.387466
2.575,0.384541
2.5875,0.381658
2.6,0.378818
2.6125,0.376018
2.625,0.373258
2.6375,0.370538
2.65,0.367856
2.6625,0.365213
2.675,0.362606
2.6875,0.360037
2.7,0.357503
2.7125,0.355005
2.725,0.352542
2.7375,0.350113
2.75,0.347717
2.7625,0.345354
2.775,0.343023
2.7875,0.340724
2.8,0.338456
2.8125,0.336219
2.825,0.334012
2.8375,0.331834
2.85,0.329686
2.8625,0.327566
2.875,0.325474
2.8875,0.323409
2.9,0.321371
2.9125,0.31936
2.925,0.317375
2.9375,0.315416
2.95,0.31348
2.9625,0.311572
2.975,0.309682
2.9875,0.30783
3,0.305969
