iteration,value
0,0.568011
0.0125,0.567911
0.025,0.567811
0.0375,0.567871
0.05,0.567819
0.0625,0.567839
0.075,0.567807
0.0875,0.567807
0.1,0.567782
0.1125,0.567772
0.125,0.567748
0.1375,0.567729
0.15,0.567704
0.1625,0.567681
0.175,0.567654
0.1875,0.567627
0.2,0.567599
0.2125,0.567568
0.225,0.567535
0.2375,0.567501
0.25,0.567466
0.2625,0.567429
0.275,0.567393
0.2875,0.567356
0.3,0.567318
0.3125,0.567278
0.325,0.567237
0.3375,0.567196
0.35,0.567153
0.3625,0.567109
0.375,0.567064
0.3875,0.56702
0.4,0.566977
0.4125,0.566933
0.425,0.566888
0.4375,0.566843
0.45,0.5668
0.4625,0.566756
0.475,0.566712
0.4875,0.566666
0.5,0.56662
0.5125,0.566575
0.525,0.56653
0.5375,0.566486
0.55,0.566441
0.5625,0.566396
0.575,0.566352
0.5875,0.566309
0.6,0.566268
0.6125,0.566228
0.625,0.566189
0.6375,0.566151
0.65,0.566113
0.6625,0.566077
0.675,0.566043
0.6875,0.566012
0.7,0.565983
0.7125,0.565956
0.725,0.56593
0.7375,0.565905
0.75,0.565881
0.7625,0.565861
0.775,0.565843
0.7875,0.565828
0.8,0.565817
0.8125,0.565808
0.825,0.565801
0.8375,0.565796
0.85,0.565792
0.8625,0.565791
0.875,0.565793
0.8875,0.565798
0.9,0.565806
0.9125,0.565818
0.925,0.565834
0.9375,0.565853
0.95,0.565874
0.9625,0.565898
0.975,0.565925
0.9875,0.565954
1,0.565986
1.0125,0.56602
1.025,0.566057
1.0375,0.566098
1.05,0.566142
1.0625,0.56619
1.075,0.566242
1.0875,0.566297
1.1,0.566356
1.1125,0.566418
1.125,0.566483
1.1375,0.566551
1.15,0.566621
1.1625,0.566694
1.175,0.56677
1.1875,0.566848
1.2,0.566928
1.2125,0.567012
1.225,0.567098
1.2375,0.567187
1.25,0.567279
1.2625,0.567374
1.275,0.567472
1.2875,0.567574
1.3,0.567678
1.3125,0.567785
1.325,0.567896
1.3375,0.568009
1.35,0.568125
1.3625,0.568243
1.375,0.568365
1.3875,0.568488
1.4,0.568614
1.4125,0.568742
1.425,0.568873
1.4375,0.569005
1.45,0.569139
1.4625,0.569275
1.475,0.569412
1.4875,0.569549
1.5,0.569688
1.5125,0.569831
1.525,0.569977
1.5375,0.570124
1.55,0.570273
1.5625,0.570424
1.575,0.570576
1.5875,0.570731
1.6,0.570888
1.6125,0.571047
1.625,0.571208
1.6375,0.57137
1.65,0.571535
1.6625,0.571702
1.675,0.57187
1.6875,0.572041
1.7,0.572213
1.7125,0.572387
1.725,0.572563
1.7375,0.572741
1.75,0.572921
1.7625,0.573102
1.775,0.573285
1.7875,0.57347
1.8,0.573656
1.8125,0.573843
1.825,0.574032
1.8375,0.574223
1.85,0.574415
1.8625,0.574608
1.875,0.574803
1.8875,0.574999
1.9,0.575196
1.9125,0.575395
1.925,0.575595
1.9375,0.575797
1.95,0.575999
1.9625,0.576203
1.975,0.576408
1.9875,0.576615
2,0.576823
2.0125,0.577031
2.025,0.577241
2.0375,0.577453
2.05,0.577665
2.0625,0.577879
2.075,0.578094
2.0875,0.57831
2.1,0.578528
2.1125,0.578747
2.125,0.578967
2.1375,0.579188
2.15,0.579411
2.1625,0.579635
2.175,0.579861
2.1875,0.580088
2.2,0.580316
2.2125,0.580546
2.225,0.580776
2.2375,0.581008
2.25,0.581242
2.2625,0.581476
2.275,0.581712
2.2875,0.581949
2.3,0.582187
2.3125,0.582427
2.325,0.582668
2.3375,0.58291
2.35,0.583153
2.3625,0.583398
2.375,0.583644
2.3875,0.583892
2.4,0.58414
2.4125,0.58439
2.425,0.584641
2.4375,0.584893
2.45,0.585146
2.4625,0.5854
2.475,0.585655
2.4875,0.585911
2.5,0.586168
2.5125,0.586426
2.525,0.586685
2.5375,0.586945
2.55,0.587205
2.5625,0.587467
2.575,0.587729
2.5875,0.587993
2.6,0.588257
2.6125,0.588523
2.625,0.588789
2.6375,0.589056
2.65,0.589324
2.6625,0.589593
2.675,0.589862
2.6875,0.590133
2.7,0.590403
2.7125,0.590675
2.725,0.590947
2.7375,0.59122
2.75,0.591493
2.7625,0.591766
2.775,0.592041
2.7875,0.592315
2.8,0.592591
2.8125,0.592867
2.825,0.593144
2.8375,0.593422
2.85,0.5937
2.8625,0.593979
2.875,0.594259
2.8875,0.59454
2.9,0.594822
2.9125,0.595105
2.925,0.595388
2.9375,0.595673
2.95,0.595956
2.9625,0.596243
2.975,0.596527
2.9875,0.596815
3,0.597103
