iteration,value
1,0.633971
2,0.633912
3,0.633831
4,0.633738
5,0.633638
6,0.633538
7,0.633442
8,0.633352
9,0.633266
10,0.633182
11,0.633098
12,0.633008
13,0.632909
14,0.632798
15,0.632671
16,0.632527
17,0.632365
18,0.632184
19,0.631987
20,0.631774
21,0.631548
22,0.631309
23,0.631061
24,0.630804
25,0.630539
26,0.630269
27,0.629995
28,0.629716
29,0.629434
30,0.62915
31,0.628864
32,0.628576
33,0.628289
34,0.628001
35,0.627714
36,0.627429
37,0.627144
38,0.626861
39,0.62658
40,0.626299
41,0.62602
42,0.625742
43,0.625464
44,0.625186
45,0.624908
46,0.624629
47,0.62435
48,0.624069
49,0.623788
50,0.623507
51,0.623225
52,0.622943
53,0.622661
54,0.62238
55,0.6221
56,0.621822
57,0.621546
58,0.621272
59,0.621
60,0.620733
61,0.620468
62,0.620208
63,0.619952
64,0.619701
65,0.619455
66,0.619214
67,0.618977
68,0.618746
69,0.61852
70,0.618299
71,0.618084
72,0.617873
73,0.617667
74,0.617466
75,0.617269
76,0.617077
77,0.616889
78,0.616705
79,0.616525
80,0.616349
81,0.616178
82,0.61601
83,0.615846
84,0.615686
85,0.615531
86,0.615379
87,0.615232
88,0.61509
89,0.614952
90,0.614819
91,0.61469
92,0.614567
93,0.614449
94,0.614336
95,0.614229
96,0.614127
97,0.61403
98,0.613939
99,0.613854
100,0.613774
101,0.613699
102,0.61363
103,0.613567
104,0.613508
105,0.613455
106,0.613407
107,0.613364
108,0.613326
109,0.613293
110,0.613265
111,0.613241
112,0.613222
113,0.613208
114,0.613198
115,0.613193
116,0.613192
117,0.613196
118,0.613204
119,0.613217
120,0.613235
121,0.613257
122,0.613284
123,0.613315
124,0.613352
125,0.613393
126,0.613439
127,0.61349
128,0.613546
129,0.613606
130,0.613672
131,0.613742
132,0.613817
133,0.613898
134,0.613983
135,0.614072
136,0.614167
137,0.614266
138,0.61437
139,0.614478
140,0.614591
141,0.614708
142,0.61483
143,0.614956
144,0.615086
145,0.615221
146,0.61536
147,0.615503
148,0.61565
149,0.615802
150,0.615958
151,0.616118
152,0.616282
153,0.61645
154,0.616623
155,0.6168
156,0.616981
157,0.617166
158,0.617355
159,0.617549
160,0.617747
161,0.61795
162,0.618156
163,0.618367
164,0.618583
165,0.618802
