iteration,value
0,1
0.0125,0.999698
0.025,0.999425
0.0375,0.999117
0.05,0.998822
0.0625,0.998505
0.075,0.998192
0.0875,0.997864
0.1,0.997533
0.1125,0.997193
0.125,0.996845
0.1375,0.996487
0.15,0.996123
0.1625,0.995749
0.175,0.995366
0.1875,0.994976
0.2,0.994576
0.2125,0.994164
0.225,0.993742
0.2375,0.993311
0.25,0.992869
0.2625,0.992414
0.275,0.991951
0.2875,0.991478
0.3,0.990991
0.3125,0.99049
0.325,0.989976
0.3375,0.989449
0.35,0.988906
0.3625,0.988347
0.375,0.987773
0.3875,0.987185
0.4,0.986583
0.4125,0.985962
0.425,0.985323
0.4375,0.984666
0.45,0.983991
0.4625,0.983296
0.475,0.982578
0.4875,0.981835
0.5,0.981069
0.5125,0.98028
0.525,0.979466
0.5375,0.978626
0.55,0.977756
0.5625,0.976856
0.575,0.975927
0.5875,0.974967
0.6,0.973977
0.6125,0.972954
0.625,0.971894
0.6375,0.970795
0.65,0.969657
0.6625,0.968479
0.675,0.967261
0.6875,0.966
0.7,0.964693
0.7125,0.963338
0.725,0.961931
0.7375,0.960469
0.75,0.958952
0.7625,0.957377
0.775,0.955743
0.7875,0.954048
0.8,0.952287
0.8125,0.950457
0.825,0.948553
0.8375,0.946573
0.85,0.944512
0.8625,0.942368
0.875,0.940137
0.8875,0.937816
0.9,0.935402
0.9125,0.932891
0.925,0.930279
0.9375,0.92756
0.95,0.92473
0.9625,0.921782
0.975,0.918713
0.9875,0.915518
1,0.912191
1.0125,0.908728
1.025,0.905124
1.0375,0.901376
1.05,0.897477
1.0625,0.893424
1.075,0.88921
1.0875,0.884831
1.1,0.880281
1.1125,0.875556
1.125,0.870649
1.1375,0.865556
1.15,0.860272
1.1625,0.854792
1.175,0.849113
1.1875,0.843231
1.2,0.837143
1.2125,0.830846
1.225,0.824336
1.2375,0.817614
1.25,0.810676
1.2625,0.803523
1.275,0.796153
1.2875,0.788567
1.3,0.780767
1.3125,0.772753
1.325,0.764527
1.3375,0.756093
1.35,0.747455
1.3625,0.738617
1.375,0.729583
1.3875,0.720361
1.4,0.710957
1.4125,0.701377
1.425,0.691631
1.4375,0.681727
1.45,0.671675
1.4625,0.661487
1.475,0.651179
1.4875,0.640789
1.5,0.630524
1.5125,0.619734
1.525,0.609103
1.5375,0.598391
1.55,0.587631
1.5625,0.576841
1.575,0.566033
1.5875,0.555222
1.6,0.544421
1.6125,0.533643
1.625,0.522902
1.6375,0.51221
1.65,0.50158
1.6625,0.491022
1.675,0.480549
1.6875,0.470171
1.7,0.459897
1.7125,0.449738
1.725,0.439702
1.7375,0.429797
1.75,0.42003
1.7625,0.410408
1.775,0.400938
1.7875,0.391624
1.8,0.382471
1.8125,0.373483
1.825,0.364664
1.8375,0.356017
1.85,0.347543
1.8625,0.339244
1.875,0.331123
1.8875,0.323178
1.9,0.315411
1.9125,0.307822
1.925,0.30041
1.9375,0.293173
1.95,0.286111
1.9625,0.279223
1.975,0.272506
1.9875,0.265958
2,0.259577
2.0125,0.25336
2.025,0.247306
2.0375,0.24141
2.05,0.235671
2.0625,0.230085
2.075,0.224649
2.0875,0.21936
2.1,0.214215
2.1125,0.20921
2.125,0.204342
2.1375,0.199608
2.15,0.195005
2.1625,0.190528
2.175,0.186176
2.1875,0.181945
2.2,0.177831
2.2125,0.173831
2.225,0.169942
2.2375,0.166162
2.25,0.162486
2.2625,0.158913
2.275,0.155438
2.2875,0.15206
2.3,0.148775
2.3125,0.145581
2.325,0.142474
2.3375,0.139454
2.35,0.136516
2.3625,0.133658
2.375,0.130878
2.3875,0.128174
2.4,0.125543
2.4125,0.122983
2.425,0.120491
2.4375,0.118067
2.45,0.115707
2.4625,0.11341
2.475,0.111174
2.4875,0.108997
2.5,0.106877
2.5125,0.104812
2.525,0.102802
2.5375,0.100843
2.55,0.0989346
2.5625,0.0970753
2.575,0.0952635
2.5875,0.0934977
2.6,0.0917767
2.6125,0.090099
2.625,0.0884633
2.6375,0.0868683
2.65,0.085313
2.6625,0.0837959
2.675,0.0823161
2.6875,0.0808724
2.7,0.0794638
2.7125,0.0780891
2.725,0.0767475
2.7375,0.0754379
2.75,0.0741594
2.7625,0.0729111
2.775,0.0716921
2.7875,0.0705017
2.8,0.0693389
2.8125,0.068203
2.825,0.0670932
2.8375,0.0660089
2.85,0.0649492
2.8625,0.0639136
2.875,0.0629012
2.8875,0.0619116
2.9,0.0609439
2.9125,0.0599978
2.925,0.0590723
2.9375,0.0581674
2.95,0.0572818
2.9625,0.0564159
2.975,0.0555679
2.9875,0.0547391
3,0.0539267
